 	perché	aveva	lavorato	tutta	la	settimana	</S>
j	0.638253168	0.13346530544	0.058524341796	0.0419868774273	0.0411928592838	0.0425997172886	0.0439777887234
a	0.635988018	0.07834938746	0.0507518848328	0.0484628774058	0.0536080091001	0.0534088710369	0.0794311436809
t	0.596478294	0.1641860256	0.040107338297	0.0388680139596	0.0418639895817	0.0450549206132	0.0734413930873
ì	0.20923315	0.349516228	0.0731842808	0.04865832848	0.073859425015	0.0930603189747	0.152488298968
ì	0.3274472728	0.4841075388	0.0413459154	0.0333864521662	0.0335137392913	0.0334533231933	0.0467459104272
c	0.23446702054	0.526662366	0.1068195484	0.032762760514	0.0314207401389	0.0303335039699	0.0375339501275
h	0.216826032	0.310069012	0.2077005	0.06111674897	0.0582401601687	0.0645206174285	0.0815271158892
e	0.1979612824	0.295095926	0.2844516926	0.05857501952	0.055612269021	0.0569670464738	0.0513367784524
p	0.0731657352	0.276363244	0.451786734	0.06082739214	0.038202170802	0.0420740020039	0.0575807703077
o	0.0493277467	0.1343932666	0.42522719	0.150972896	0.0745984036	0.06461832532	0.10086219651
l	0.080990304	0.159166314	0.460234808	0.1209540266	0.05785958684	0.046810942686	0.0739839344026
e	0.03743709004	0.085418947	0.420315176	0.198035538	0.11451326518	0.07986708526	0.064412929814
m	0.09399431648	0.117475238	0.346512774	0.210610758	0.0765731286	0.06558572116	0.089247991214
ì	0.023962352626	0.028786501	0.284631608	0.3414529462	0.148613741	0.1071737134	0.06537907792
s	0.038747017	0.0729592488	0.282325857	0.291969666	0.1351693616	0.070688621	0.10814028922
o	0.02022722588	0.04258631	0.330849306	0.301484469	0.1372974591	0.06272157954	0.1048337112
n	0.04028015984	0.0405527606	0.0919135418	0.355518136	0.253342892	0.0989538368	0.1194385247
t	0.031984004162	0.02862530824	0.123449576	0.367262956	0.204517401	0.11466232086	0.12949841546
a	0.0427118622	0.041731507	0.115783762	0.266252356	0.243528546	0.1707894466	0.11920257
ò	0.01672248406	0.01331632094	0.030134764	0.200593684	0.375966088	0.1373180834	0.2259485699
l	0.009913707668	0.01038220298	0.0398222068	0.229555342	0.363234814	0.180115956	0.16697578152
i	0.01281019608	0.0170460706	0.097253373	0.193959412	0.29599955	0.1978746026	0.1850566508
t	0.01239003694	0.01302495812	0.01895483904	0.0796937846	0.3342138548	0.238690985	0.3030315968
i	0.006013921388	0.0090239412	0.0255497398	0.0969656104	0.362449324	0.286375078	0.213622408
n	0.01020719504	0.01169806064	0.01524014874	0.0307157092	0.1881414276	0.3503436288	0.393653782
a	0.008506581994	0.0106511699	0.0238616376	0.0540740712	0.2868300008	0.338940932	0.2771354772
d	0.00923455524	0.00999084208	0.01278999246	0.0269275624	0.0905302022	0.474792594	0.375734314
d	0.008746093344	0.00881554009	0.02391613776	0.02495683594	0.1238146328	0.46847792	0.341272669
o	0.001812259486	0.001421029642	0.01346108362	0.0175010741	0.10497270856	0.621020638	0.23981110354
m	0.006940407176	0.01279625992	0.02472858426	0.0225928766	0.0974464064	0.432374426	0.403121104
à	0.0081434477732	0.0086455656716	0.01746401388	0.0306559981	0.061963336	0.404519956	0.468607562
d	0.00925735455	0.01078607072	0.04512995476	0.05293169826	0.106476036	0.41586145	0.359557264
a	0.0085286395028	0.011663799582	0.01633424411	0.037245731	0.0759160952	0.436610356	0.413701152
</S>	0.013500205286	0.0143827364	0.017536643832	0.03752716166	0.0879287546	0.310061702	0.519062844
