 	sta	seduta	nel	giardino	</S>
s	0.816997562	0.0506389851	0.0430153092272	0.0443921933859	0.0449560170716
t	0.75045078	0.09453386824	0.050335993152	0.0501172242598	0.0545621580071
è	0.647558394	0.15219363608	0.052711825958	0.0515190051791	0.0960170852187
i	0.433966458	0.410400174	0.0482498692286	0.047432740496	0.0599507480725
k	0.183133806	0.644670772	0.05703220008	0.0463367386616	0.0688263796059
a	0.432575378	0.2746119026	0.0944450834	0.059474775902	0.138893061334
s	0.1287373852	0.6106033632	0.07361736	0.0515105012268	0.13553141545
i	0.094249169	0.35171837	0.269963018	0.0926053578	0.1914641402
m	0.102911603	0.4628276574	0.21746305	0.0563221394	0.1604756013
m	0.0491789163	0.231438696	0.43387648	0.1602910702	0.1252147884
è	0.1120019564	0.0971553706	0.3554916808	0.1791020074	0.2562488312
n	0.089723837	0.1930056528	0.4409867492	0.11237327904	0.16391052772
i	0.0758437632	0.228301509	0.414161376	0.12841171426	0.1532818182
s	0.02553970012	0.0571733152	0.364472808	0.364935698	0.1878785536
t	0.018930058188	0.0357751416	0.3648695334	0.316006218	0.2644189443
o	0.04605926418	0.02469872132	0.3832883506	0.292358138	0.2535955678
n	0.028290439418	0.03894993514	0.1551135468	0.394460642	0.383185522
g	0.005192493402	0.01685474544	0.121857879	0.623081004	0.2330140142
h	0.033190145316	0.07294677904	0.2390066862	0.4391804752	0.215675836
i	0.00635206717	0.012900007308	0.220093748	0.47304358	0.287610624
a	0.011109828235	0.02489540698	0.051626935	0.546132962	0.366234861
r	0.0063487555964	0.012251616746	0.03741686754	0.4623531848	0.4816294968
d	0.00750117732	0.01317184622	0.030548213626	0.4111699116	0.5376088088
ì	0.014589519206	0.053188445592	0.2104459186	0.380018644	0.3417573544
n	0.008908718602	0.03816106262	0.070851474	0.402270698	0.47980809
o	0.013314124519	0.018961727934	0.05330698482	0.528261226	0.38615586
</S>	0.0137612882846	0.0166367373	0.0287503342	0.377079342	0.563772234
