 	Marika	è	che	si	sposa	domani	</S>
M	0.698938248	0.04659439756	0.04188755012	0.051326582028	0.04029576904	0.0719584449462	0.0489990573834
a	0.48328372	0.1084250454	0.0744155160108	0.0582614442707	0.0699137783454	0.0978444171053	0.107856245175
r	0.465374258	0.1764867838	0.0640318063944	0.0475004132615	0.0446151597342	0.0895804771239	0.112411078405
ì	0.143168708	0.399202312	0.166248233	0.0720555964	0.0407341813566	0.0602514331027	0.118339469452
k	0.1687247008	0.418588588	0.2299023939	0.047226566712	0.0349419737975	0.0457229803105	0.0548928849087
a	0.0958467414	0.352531842	0.3010767592	0.0792618882	0.04528107725	0.043223093094	0.0827785682456
è	0.0454854644	0.323282122	0.2936164694	0.127952104986	0.029194418032	0.0753456991912	0.105123567825
n	0.0401827446	0.1708093076	0.4239041126	0.0597757512	0.1090407776	0.0618620446752	0.134425056056
a	0.08196870568	0.1303189366	0.314205344	0.1019484566	0.1828677712	0.07394302198	0.1147475594
r	0.02121029672	0.065735794374	0.15125996924	0.19262488812	0.3067782852	0.127728447938	0.13466235782
m	0.008173369048	0.03339960258	0.1776100664	0.1778189784	0.3279043623	0.06728346954	0.20780999416
a	0.00592653962	0.04706607642	0.1778012172	0.1740070216	0.20505022753	0.225636101505	0.16451269
s	0.0089298397	0.01826166067	0.063028614552	0.19929726164	0.3786546917	0.1122767646	0.2195511724
t	0.003908992586	0.024109166562	0.10570030438	0.1618724426	0.2172397158	0.263500205365	0.223668993
ì	0.00212915518	0.018225370388	0.08997504466	0.143110851	0.1627865554	0.33655035862	0.2472226027
à	0.01378613626	0.027321497754	0.038866489572	0.09532087634	0.1415662309	0.473703414	0.209435406
v	0.005480262012	0.005329529524	0.010836507612	0.0163247475	0.04452903286	0.715122102	0.2023779399
v	0.016948493304	0.0172203869004	0.033439019848	0.03226968584	0.05873476636	0.5534942292	0.2878935736
r	0.0029773770248	0.0673569930476	0.10381668889	0.033713981216	0.04800694922	0.4306430304	0.31348491
i	0.00338185131	0.0728041820404	0.043693368488	0.099500448084	0.023709144984	0.322972171187	0.433938974
</S>	0.003684180668	0.0152410126068	0.016915952348	0.0227536782	0.02188858312	0.2192628144	0.70025389
