 	non	li	aspettiamo	più	</S>
e	0.789650594	0.06928308897	0.042895131662	0.05182998561	0.0463412114597
t	0.364235378	0.46950838	0.05821001908	0.0522365945396	0.0558096053836
u	0.1279615548	0.520640134	0.0917952392	0.0915832514	0.16801994605
s	0.1771609008	0.566851652	0.1237533466	0.0595884974196	0.0726457104774
m	0.084750412	0.29050996	0.309622148	0.1372060208	0.1779114541
è	0.186843275	0.249696926	0.1910972578	0.1397766758	0.232585943
n	0.1262097724	0.3677222048	0.20363373	0.15923152394	0.14320266724
u	0.0902340532	0.25959167	0.35712606	0.1395231964	0.153524813
m	0.0525803324	0.089206252	0.443316034	0.235921168	0.178976156
e	0.0242310016	0.05646932588	0.2210468226	0.434932854	0.263319964
p	0.019664064	0.0398171948	0.0933307068	0.609061594	0.238126424
l	0.008606950452	0.023413032902	0.0313980664	0.660199604	0.276382272
è	0.006238057414	0.0102782623	0.025549933	0.60164684	0.356287
o	0.04839873856	0.02531551886	0.0985069812	0.553603028	0.274175804
</S>	0.02078599178	0.015120599072	0.03221389004	0.4721035488	0.459775992
