 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
è	0.7507488092	0.038887486726	0.04924376562	0.03712347236	0.026395439148	0.0228453579408	0.0252921250424	0.0494635371485
n	0.629070834	0.1242699964	0.0363937943	0.0335654360112	0.0390082828826	0.0353553804087	0.0490616521769	0.0532744843111
a	0.308184896	0.4554585612	0.0489348518	0.03367216758	0.03530064859	0.0333132158102	0.0380602989183	0.0470753143864
v	0.11653172	0.542450386	0.123341944	0.03374148064	0.0334757450395	0.0339843594296	0.0487026261351	0.0677717415206
o	0.0610671834	0.2832215515	0.20162675	0.1982143366	0.0743779372	0.0532268557	0.0370061357349	0.0912592245107
r	0.0699024926	0.24019753	0.39478275	0.0531423656	0.0379784500346	0.0427840373742	0.0427283727749	0.118483967904
à	0.0479915432	0.236223083	0.247151498	0.127517112	0.094790153	0.06160551204	0.0479081995633	0.13681292154
s	0.0627397966	0.168317711	0.367285432	0.1571243512	0.066163957694	0.0490236336844	0.0396627035327	0.0896823976637
o	0.04128893304	0.247096203	0.333361346	0.1479939234	0.0848544204	0.05247719652	0.0325401391089	0.0603877591168
o	0.0298857171	0.0531813964	0.319124832	0.2890119088	0.0822323099	0.07338309138	0.0209803495164	0.132200276829
t	0.0277124505092	0.0428596699	0.2452862	0.3047640812	0.097478965	0.0956878488	0.0284890308602	0.157721785781
s	0.033507570158	0.0214603678	0.147142272	0.4377872828	0.1253069668	0.085879813	0.05065470504	0.09826113782
o	0.02096440396	0.02092665082	0.1737313894	0.42170482	0.146510291	0.0993592608	0.0437949034096	0.07300833433
m	0.01311681908	0.01717864606	0.0732706414	0.1305696454	0.218019988	0.173922828	0.1670906182	0.20683092356
ì	0.00833122046	0.01124574024	0.0314613516	0.2565777324	0.1783962002	0.1467496024	0.1955145634	0.171723538
k	0.0164349486	0.0246859054	0.0569785596	0.078926186	0.299895784	0.197755424	0.1552244642	0.17009880272
u	0.01446331746	0.0109289332	0.0296689244	0.162202638	0.2932376186	0.102721349	0.1310420052	0.2557351826
à	0.019491944504	0.01939596944	0.02884154434	0.0456636537	0.182862633	0.23967934	0.2100101086	0.2540549238
i	0.006275049648	0.01062786757	0.01361724782	0.0287862214	0.236889576	0.2034767444	0.303586458	0.1967407148
k	0.00927016075	0.011105222416	0.0125492798	0.02479022604	0.10967462312	0.23373168874	0.396198274	0.2026806198
u	0.010945299508	0.003788476608	0.01620271056	0.0419784299	0.101741881	0.222647234	0.386520442	0.216175324
à	0.010002415748	0.0099305523936	0.011751024286	0.015350075627	0.027194009026	0.1663259596	0.445798022	0.31364791
i	0.007392272674	0.009046759432	0.009682893778	0.01151236162	0.0364751587	0.1176946267	0.568186872	0.240009044
m	0.0097164324646	0.01137675922	0.011903631868	0.01400980016	0.02633143384	0.10515890922	0.548590436	0.27291271
è	0.013305776608	0.00355860377	0.019128849144	0.027496018774	0.0440263954	0.1115175962	0.493640282	0.287326622
r	0.00935745476	0.01846894154	0.019287531388	0.01565826062	0.03875425466	0.0842772516	0.498530282	0.31566599
i	0.00770624698	0.00695432401	0.009208100496	0.012899099296	0.02238504396	0.083148206	0.462629128	0.395069812
</S>	0.014271260984	0.013157526263	0.015280289806	0.0153291462314	0.017164654946	0.0306184608	0.352430288	0.541748416
