 	il	ladro	è	entrato	da	qui	</S>
o	0.777917598	0.0673911804	0.03116889817	0.03013281708	0.0299030977084	0.0327798585848	0.0307065394916
l	0.5483017	0.2531513822	0.040300090486	0.03481545564	0.0399551906608	0.0433255403074	0.0401507640558
à	0.230658027	0.4819114788	0.0511038872	0.050320599	0.062229606862	0.0580160086941	0.0657603571232
d	0.156405702	0.522603218	0.108828691914	0.051474252614	0.0516260999103	0.0552381448246	0.0538239649626
r	0.1247497318	0.38505065	0.1665396822	0.0937416206	0.0715377209226	0.0528878218684	0.105492921804
o	0.23618143	0.28332298	0.240462807731	0.099747117	0.0463944266586	0.0460049201932	0.0478861878723
i	0.0649194034	0.311489678	0.40065458	0.0938154924	0.0359710530805	0.0384918211469	0.0546580906503
m	0.03599567413	0.1309487996	0.4055162632	0.2076521124	0.081901433648	0.0695229751374	0.0684626309991
b	0.026072196172	0.0619015974	0.145497127	0.469494728	0.11617842812	0.09561726052	0.085238725106
ì	0.01934188492	0.0658666728	0.128426916	0.374653268	0.099790413194	0.102904162602	0.209016697601
k	0.0437292694	0.106408092	0.2429300756	0.256844972	0.1605897	0.0345434439	0.154954481496
e	0.030167173792	0.0476876594	0.1033583312	0.4920586547	0.09071999512	0.080864006192	0.155143962419
a	0.03004098362	0.04178278268	0.0800780872	0.171943219	0.420423604	0.09908995902	0.156641319032
p	0.011628051072	0.01347604881	0.020924839068	0.07062891588	0.3559265908	0.4269222756	0.1004933924
ò	0.025489819113	0.01082667864	0.030951041328	0.10224121716	0.1519508928	0.55690745	0.1216328308
t	0.0075962238684	0.0088775013	0.01121660638	0.021088366	0.147704252	0.680293	0.123224163
t	0.007042305786	0.00926878893	0.01194608701	0.03091087908	0.1717563372	0.6422846	0.126791198
u	0.0345966987918	0.016817025938	0.023804792746	0.093178459	0.228124671	0.425822642	0.177655869
</S>	0.0076859011381	0.007847792586	0.0076242147966	0.02010754814	0.1067117194	0.503017418	0.347005318
