 	il	ladro	poteva	entrare	da	qui	</S>
o	0.789908474	0.0547578898	0.0314907563524	0.0312826255156	0.0297079314178	0.0323825573745	0.0304697739502
l	0.539850926	0.2645148242	0.042512167686	0.035507341626	0.0371458270755	0.0410767874884	0.0393921934489
à	0.22457388	0.478036966	0.078108875	0.04831480134	0.04797581489	0.0563530388391	0.0666365011887
d	0.16653804	0.525159204	0.11133734902	0.0537356536372	0.0441569050736	0.0491347499159	0.0499381005097
r	0.1258188196	0.37470695	0.2178236454	0.086653949948	0.0535702712971	0.0504890563339	0.0909373110594
o	0.224921834	0.30577665	0.24578572404	0.0801760103518	0.0460588852056	0.0475679597566	0.0497128723448
ì	0.0651556727	0.3235169474	0.414511644	0.062836844452	0.03945424687	0.0400446838936	0.0544799083306
s	0.04818155234	0.1765396752	0.5249059508	0.1006782762	0.049829715917	0.043797894886	0.0560670190576
o	0.0410229202	0.1347217758	0.500489646	0.130560793	0.0557215576	0.0392494568279	0.0982336541984
z	0.05762380196	0.0896111496	0.287923254	0.406793432	0.05705966306	0.0349567412092	0.0660320423033
e	0.02257998176	0.0627729636	0.1946736352	0.356149892	0.15065592346	0.088749220692	0.124418447669
è	0.04460911896	0.0615210516	0.113498488	0.436763321	0.179336882	0.046411937892	0.117859234268
m	0.022460035244	0.03970609112	0.08943020874	0.470005136	0.181290472	0.05331477304	0.14379345214
b	0.021706061482	0.032796676728	0.05853540768	0.288443554	0.22405892	0.2516388896	0.12282052288
i	0.00756499528	0.0211794078	0.0472959338	0.3979138036	0.1571616654	0.145473792759	0.223410541398
a	0.01614060172	0.0184266016	0.02796582688	0.115897974	0.431188684	0.237011276	0.1533690536
p	0.00772277357	0.00836140377	0.01139666964	0.02446964132	0.2678923082	0.55343038	0.126726831
ò	0.017744236322	0.01215347987	0.024207005694	0.05162513928	0.1097609037	0.662601694	0.1219076264
t	0.006626214908	0.007106846636	0.009424428392	0.021291323	0.0871709136	0.732326838	0.1360535068
t	0.006006374276	0.007841582706	0.00921397992	0.02694220592	0.0964010532	0.687813696	0.165781012
u	0.006086796804	0.003537262594	0.0144726950588	0.08500726888	0.2250866146	0.471401244	0.1944081529
</S>	0.008246467328	0.00878253892	0.01023978997	0.0163151769	0.087267372	0.50969989	0.359448712
