 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.796863624	0.04528242218	0.04057795228	0.0385443412492	0.038266330743	0.0404654405983
c	0.737765814	0.057872694	0.0467349503152	0.054830853963	0.0477944487185	0.0550013373064
h	0.338488572	0.422672758	0.05890703508	0.0596961589256	0.0533491065974	0.0668864011905
e	0.46610841	0.32039998	0.059411477174	0.0515789069681	0.0553336030686	0.0471675790996
p	0.21007031	0.580659896	0.058484221008	0.0464775407119	0.0489094402433	0.055398556923
o	0.0956760262	0.521068842	0.14736753216	0.071468329556	0.065447976188	0.0989713147162
l	0.1021408072	0.604681562	0.1208593638	0.064662500308	0.0466902514957	0.060965651811
e	0.06285191936	0.52289035	0.162096988	0.11698749314	0.06995110102	0.0652222541046
m	0.1531600054	0.352309994	0.289306428	0.07370122212	0.0558267521952	0.0756954411704
ì	0.03509526534	0.343040218	0.3024343012	0.149543501	0.10138915746	0.068497550908
s	0.068850928	0.26881585	0.398057718	0.1043636474	0.0523673381	0.107544514432
o	0.03483661468	0.37080319	0.3245388808	0.1085644406	0.06220743142	0.09904959268
n	0.0614398866	0.0853042102	0.423378328	0.2328311908	0.08014429272	0.11690208192
t	0.02632520554	0.0821925034	0.4215035072	0.2313553908	0.09827707766	0.14034635214
a	0.04564336268	0.111275596	0.294558346	0.278895602	0.1467330834	0.1228940925
ò	0.01637853914	0.02076722812	0.164857845	0.43604583	0.1197189692	0.2422315041
l	0.00806175636	0.0214210824	0.23416452	0.379396886	0.1857375098	0.17121847658
i	0.01407223086	0.0507682646	0.1878622218	0.3610913552	0.194155032	0.192050829
t	0.016960118172	0.017129319372	0.0441306562	0.328888214	0.2786889512	0.314202498
i	0.008863327668	0.01626024524	0.0661305034	0.359029582	0.3509591808	0.1987573348
n	0.01409046308	0.01442824244	0.02735770688	0.1711313502	0.426151458	0.3468408008
a	0.009810340906	0.01473426348	0.0479946862	0.244937894	0.421904284	0.2606184714
d	0.011002024306	0.01290765009	0.0241440854	0.0897295273	0.50083133	0.3613854092
d	0.010886359296	0.0130168068	0.02075330598	0.067925285	0.520216462	0.3672018652
o	0.001979414384	0.01156924368	0.01733924954	0.103475936712	0.614664444	0.25097185548
m	0.0313516573	0.039892188234	0.0222848296	0.1014191356	0.386109004	0.418943248
à	0.0080474803034	0.010387495148	0.0241635536	0.051238991	0.435836908	0.47032563
d	0.010755920894	0.0395195945	0.05520243832	0.09523667	0.375417708	0.423867706
a	0.009651002662	0.015433632536	0.03449746662	0.0700086964	0.407969002	0.46244032
</S>	0.0153848031	0.017557324084	0.03446789132	0.084080526	0.31825293	0.530256404
