 	che	consuma	poco	benzina	</S>
n	0.81767167	0.0493761973	0.043172459952	0.0445207946624	0.0452588109499
a	0.719353662	0.1031571614	0.053635507656	0.0518463080646	0.0720072383084
k	0.4537169448	0.3510071768	0.05742876098	0.0627167932004	0.0751302049345
o	0.216615736	0.429186882	0.18654623418	0.047885327716	0.11976582002
n	0.252472784	0.535857984	0.10867016474	0.0427717760945	0.0602274327321
s	0.0794213582	0.469810054	0.31359693024	0.033457641594	0.1037141358
u	0.229991625	0.486340748	0.126565308	0.0411074872	0.115994809186
m	0.0840653148	0.38161812	0.3305829966	0.0455426508	0.158190937778
è	0.04512417958	0.361669036	0.377258814	0.070915522388	0.1450322128
t	0.0540346228	0.2050664884	0.4840129786	0.0486024452	0.20828343468
s	0.056957549	0.1690129348	0.516751414	0.03831908386	0.21895888728
i	0.0636913224	0.0901164074	0.495769206	0.087322380872	0.263100800872
a	0.03525966278	0.05303844363	0.37731490414	0.1949209566	0.3394661328
l	0.01703209556	0.024717816068	0.32810523728	0.400409294	0.2297355604
ì	0.01797021948	0.07844018016	0.1705810312	0.3039087116	0.429099718
o	0.014917758664	0.0295735021	0.09042993024	0.56339414	0.301684662
b	0.008027143794	0.015860501116	0.10533325164	0.458804734	0.4119742346
e	0.00817197376	0.04314700378	0.0959407228	0.300707444	0.552032816
n	0.011035048126	0.015658338637	0.04694846752	0.438094254	0.48826409
z	0.0065180496	0.02717696792	0.04904252379	0.36613842	0.551124052
ì	0.02772084444	0.040411773082	0.06392010824	0.3024439692	0.565503398
n	0.012584907214	0.01580248656	0.0581906662	0.509938404	0.403483454
a	0.0178973209948	0.03332837602	0.06518487008	0.503203078	0.380386371
</S>	0.015562468268	0.01523990602	0.0308137572	0.1899557604	0.748428144
