 	ha	che	sono	usciti	</S>
è	0.730749418	0.082810943	0.085198110712	0.044897335317	0.056344116951
n	0.60753979	0.177024138	0.070438298322	0.066549988246	0.07844773126
a	0.296919686	0.392681942	0.1203156942	0.0714905212	0.1185922599
g	0.10290361	0.458792039	0.1116878448	0.2438037868	0.0828126532
u	0.0348968127	0.488085	0.293565608	0.06961912432	0.11383332552
ì	0.0202282781	0.0763800554	0.3626897976	0.31066731	0.230034624
k	0.0235231807	0.0528401554	0.381767584	0.327964124	0.21390491174
a	0.04987043574	0.2221520288	0.302514638	0.1903395764	0.23512332166
n	0.044315808706	0.0378867316	0.1450513772	0.474518868	0.298227098
e	0.00559042428	0.019475502812	0.2032692132	0.362257988	0.4094068692
</S>	0.029447776462	0.03943933942	0.1096017528	0.222944574	0.598566574
