 	ho	rotto	una	bottiglia	</S>
è	0.776111606	0.0602578978	0.050715912568	0.0598797179644	0.053034911561
g	0.562796906	0.214733934	0.06975527819	0.0844382905295	0.0682756105907
l	0.400970286	0.337611542	0.0883738734	0.0584926943348	0.114551447778
a	0.4068019088	0.3302214935	0.11227424848	0.0683207758502	0.0823816181695
s	0.25098922	0.44938835	0.16577860108	0.0625599042585	0.0712839217347
a	0.1192528904	0.521981062	0.18202473412	0.087676616348	0.0890647725454
m	0.1846002058	0.320266162	0.337863116	0.055893631678	0.101376984231
i	0.08518604286	0.216291518	0.4314864806	0.16453716268	0.10249869832
a	0.0628541658	0.0978391432	0.505467616	0.110719996	0.22311913822
b	0.02798736068	0.0589611382	0.527524432	0.271625991	0.11390107566
u	0.03571639288	0.0682213172	0.2075948246	0.530062776	0.158404716
t	0.0254999087	0.04017362314	0.1997428092	0.406487527	0.3280962688
t	0.01813346192	0.03044324512	0.1701662914	0.620256998	0.1610000512
ì	0.09954323382	0.01899260654	0.1596249492	0.429441358	0.2923976784
g	0.01236582972	0.01269101254	0.0641078278	0.5943597708	0.3164755696
l	0.00563641598	0.0218534754	0.0886493536	0.668095358	0.2157654116
i	0.14534275338	0.03006626388	0.086046047	0.446551806	0.2919931802
a	0.022604082106	0.01553367874	0.0554824096	0.476883822	0.429496062
</S>	0.011434262846	0.01323834018	0.0496000593	0.38644489	0.539282446
