 	era	molto	stanco	</S>
ì	0.741995118	0.08889084058	0.093631521272	0.0754825737307
o	0.75884203	0.07458854636	0.0909997196336	0.0755697355387
n	0.534282958	0.274277774	0.096506211258	0.094933274174
e	0.340724812	0.37511044	0.1426510042	0.14151353576
p	0.149022747	0.569158526	0.127402251006	0.154416511232
o	0.100620806	0.598226888	0.1397466406	0.1614055152
d	0.1250256016	0.647341434	0.12168662554	0.1059463774
d	0.0468314462	0.568579182	0.209937276	0.1746520708
h	0.0251910953	0.536689236	0.120587781	0.317531938106
ì	0.0440382638	0.4201688466	0.34284099	0.1929518078
s	0.0666374456	0.324130066	0.3804878572	0.2287447228
t	0.027132791116	0.125534086	0.516371096	0.3309620884
r	0.0110411718	0.138262694	0.696949212	0.15374681362
à	0.0135445916	0.0922712534	0.729640294	0.16454384574
k	0.019766335526	0.0246759032	0.473078684	0.482479124
k	0.01299486412	0.04922820308	0.647827536	0.289949408
o	0.006245324274	0.0744539086	0.71908209	0.20021855668
</S>	0.02559005958	0.06730434492	0.3364219582	0.570683554
