 	vuole	andare	a	Lecce	</S>
i	0.807922946	0.05391887386	0.0450821136312	0.0476068221204	0.0454691603424
t	0.711688458	0.12902468842	0.0503604770604	0.0492262205004	0.0597002121578
è	0.369854132	0.386329076	0.0738032826	0.06408312238	0.105930453684
l	0.406555578	0.408642622	0.053348990156	0.0403689952197	0.0910838387873
i	0.257201821	0.441417294	0.1295010858	0.0669358056648	0.104943980241
n	0.121834814	0.557408538	0.1581127271	0.040149071868	0.122494915617
a	0.0558922404	0.475837436	0.289870033	0.08243357	0.09596659713
p	0.0753747474	0.348496172	0.3284119992	0.0877880074	0.15992908938
à	0.04631293714	0.2582533	0.291120766	0.301623697	0.10268932814
i	0.0589411636	0.1341583514	0.392807042	0.1734733302	0.24062008712
L	0.01261559407	0.089428454	0.295336598	0.402204862	0.2004145856
u	0.01658503368	0.05599962096	0.278146895	0.483413634	0.165854746
p	0.02727670686	0.0787013692	0.135435782	0.456116461	0.3024696588
p	0.0108415935	0.02922506296	0.1156582128	0.530524838	0.3137501476
ì	0.03363745576	0.0391231918	0.13147248968	0.397500988	0.398265854
u	0.0118854697	0.0393075064	0.1826055346	0.4492509368	0.316950577
n	0.00972392051	0.03692941254	0.0829009856	0.2645106832	0.605934918
a	0.04891853664	0.06340605366	0.1226452754	0.466131568	0.29889867
</S>	0.021085520898	0.02899459424	0.0824621608	0.13657884	0.73087884
