 	può	che	sono	ancora	svegli	</S>
i	0.797972962	0.05240234682	0.0383808946364	0.036167848946	0.0388214652232	0.0362544634531
s	0.682630002	0.1418880672	0.04123880276	0.047303142476	0.039693531086	0.0472463419944
ò	0.367829046	0.42776774	0.0512267496	0.03773614654	0.044301189541	0.0711390056882
z	0.344402014	0.48101169	0.04096308426	0.0335990831123	0.0297917852232	0.0702322888179
i	0.225787064	0.47340837	0.116382913	0.0509546294772	0.0448090551369	0.0886578745091
k	0.1241368928	0.623472116	0.0993186808	0.0561491808364	0.0419070710325	0.0550159527291
a	0.1080695306	0.46224146	0.1956861816	0.0513307918	0.06734549995	0.115326549217
ì	0.104263434	0.241816714	0.42117995	0.1049255242	0.045825976192	0.0819883997832
n	0.0671147211	0.1073489196	0.510795602	0.1592416414	0.05079259494	0.1047065272
e	0.0691489252	0.1246101734	0.526057064	0.0877867584	0.044117579882	0.148279446144
a	0.04464334152	0.057527206	0.12843631	0.588887074	0.05713558926	0.12337039526
n	0.02142796878	0.02589158244	0.0859698832	0.637175456	0.123128575	0.10640643866
k	0.05237472292	0.06490150022	0.150214684	0.460426728	0.102232098484	0.169850312
ò	0.09980215668	0.0589082936	0.0833524484	0.239247263	0.0847044002	0.43398558
r	0.0243202536	0.0407008082	0.1988968112	0.321784654	0.190813077	0.223484456
a	0.03570267068	0.05179028046	0.1657435844	0.402715557	0.13493745672	0.2091106106
a	0.0506404152	0.0483993174	0.06989033368	0.3089505308	0.2005378322	0.321581394
t	0.0214654409	0.01620724856	0.0470450156	0.1433351446	0.46328403	0.3086629026
s	0.0203864563	0.02392942286	0.0445141358	0.17466957	0.323718373	0.412782268
ù	0.06968152408	0.01168129418	0.018421779338	0.077953848654	0.2567109183	0.565550678
n	0.0216871763	0.02127591192	0.0436322944	0.1004281272	0.51051762	0.302458822
n	0.009446161626	0.018023139628	0.03746809364	0.1339876198	0.505020846	0.296054124
i	0.07431851748	0.045821072848	0.04090963396	0.074470637	0.3049249094	0.45955521
t	0.038361203384	0.02302951158	0.07777999852	0.05330020154	0.466424518	0.341104568
i	0.049298870642	0.100528780722	0.03384455888	0.03168681482	0.3484862556	0.436154834
</S>	0.0190564454988	0.01946767405	0.0228446605	0.038925378	0.3013731114	0.59833279
