 	forse	sono	usciti	</S>
f	0.678085684	0.1190769888	0.090534601208	0.112302634368
ò	0.597573788	0.11410696276	0.116705323167	0.171613964908
r	0.555117728	0.1904141192	0.180562838314	0.073905287386
s	0.56561731	0.2038724788	0.1129419816	0.117568161374
i	0.491299552	0.20916651684	0.170620251148	0.128913662047
e	0.1760157537	0.305930282	0.4015633892	0.1164906234
g	0.08152417702	0.214005096	0.45886869	0.245602102
g	0.05689348768	0.3232844384	0.3023341916	0.317487754
u	0.167076469	0.1544217388	0.1823808788	0.496120952
ì	0.02426242022	0.1679917738	0.346817416	0.460928432
k	0.0331967916	0.1429481546	0.283492422	0.540362478
a	0.0700028698	0.1021855228	0.296289124	0.531522592
n	0.05132921418	0.119934333	0.1751317968	0.653604718
e	0.060948459	0.1700345246	0.2275847048	0.541432264
</S>	0.039602915	0.1255728618	0.166222368	0.668601832
