 	che	non	li	aspettiamo	</S>
n	0.805902516	0.0625964956	0.0431445767	0.04485706513	0.0434992967008
a	0.70506468	0.10819532202	0.0648706883809	0.0561514537313	0.0657179061211
m	0.34325432	0.446534346	0.091015871766	0.0651915139433	0.0540037331502
i	0.213623148	0.138286191	0.42310979	0.0798378012	0.1451431476
t	0.1443471096	0.2772876506	0.476379988	0.05021169398	0.05177359691
u	0.1027632568	0.1024063862	0.464752444	0.0853590346	0.2447188228
s	0.1136747684	0.142691288	0.569225028	0.1091675108	0.0652414766
m	0.0573438758	0.0572470456	0.257007586	0.2670703612	0.36133116
ì	0.0271565748	0.0512153798	0.2904781412	0.157187046	0.4739629694
n	0.12754755748	0.0740738943	0.3625467646	0.1073842374	0.32844763
o	0.089627634	0.136709968	0.364434906	0.1825574188	0.226670164
m	0.02273128248	0.0503711122	0.0876369074	0.562341842	0.27691878
e	0.0636847840012	0.03423047475	0.1969237721	0.414369098	0.2907916772
</S>	0.013702505546	0.023855607666	0.04511846646	0.432563686	0.484759792
