 	e	che	cucino	</S>
c	0.759814634	0.0905782212	0.081995217	0.0676118587932
e	0.682118712	0.125653971	0.08170469254	0.110522695932
p	0.255759964	0.487881662	0.0729863248	0.183371823255
u	0.284140138	0.474966184	0.1222893376	0.118604309
m	0.1265342508	0.44418292	0.256558162	0.172724626
a	0.1245860348	0.609215422	0.1778948532	0.0883036287
r	0.0782090048	0.210753786	0.371506894	0.339530416
è	0.0598135868	0.2333118484	0.389286876	0.317587678
o	0.0567577204	0.1473900014	0.373771272	0.4220809754
</S>	0.0228186103	0.105254653	0.500762748	0.371164098
