 	l	ho	sentito	che	veniva	</S>
o	0.806040532	0.0411441121	0.035073184964	0.0369155324294	0.0425448300762	0.0382817234772
n	0.555296056	0.196595646	0.0872407468	0.0767107825548	0.0413217434442	0.0428349592378
ì	0.2320468936	0.329409424	0.0813517568	0.12147164506	0.109563657609	0.126156829135
k	0.1652832544	0.504722312	0.175963476	0.056921157	0.0508256197819	0.0462842416555
u	0.0626851976	0.328695985	0.3067917912	0.0886876226	0.114425682736	0.098713821388
s	0.0966437194	0.172712677	0.418540204	0.207056396	0.059936105877	0.04511090607
a	0.03093794996	0.069217858	0.359722683	0.368579598	0.07797652406	0.093565474116
k	0.042162236	0.0535158256	0.14478015	0.530078496	0.10167683628	0.1277862762
a	0.041892874504	0.04753413144	0.1178961602	0.37172128	0.26585483	0.1551006416
è	0.03444527296	0.035783165074	0.06505057926	0.28613793772	0.345505012	0.2330780901
r	0.01268346198	0.01508930986	0.02824901964	0.15869283852	0.66922669	0.11605864982
k	0.012245514893	0.0154188191626	0.0497095952734	0.232271564026	0.472565676	0.21778888368
a	0.02712032021	0.010370760009	0.026727653712	0.1239024951	0.58652086	0.22535807548
t	0.0142154820471	0.0149783891428	0.0170406594186	0.039272049	0.4308390784	0.483654418
o	0.0095877391092	0.00947323085	0.015132207292	0.0509293082	0.54537601	0.3695016282
</S>	0.0136914571524	0.013076233316	0.014802774972	0.03442617962	0.376107447	0.547896048
