 	siete	cucinato	</S>
ì	0.767718396	0.1110978999	0.121183769096
s	0.752510432	0.141785616	0.1057039248
e	0.53445026	0.2827725564	0.18277716876
s	0.240058632	0.519738576	0.2402027958
t	0.18004517	0.53658958	0.2833653256
a	0.152627634	0.549202074	0.29817035306
m	0.042287855	0.488236976	0.46947514
a	0.0656040003	0.588402912	0.3459930608
r	0.05517088532	0.418603308	0.5262257
à	0.0238866646	0.39035922	0.585754078
t	0.03654186948	0.399607888	0.563850222
a	0.03693838254	0.39299665	0.570064956
</S>	0.0449221204	0.181132116	0.773945746
