 	il	dito	si	gonfiò	</S>
o	0.79909842	0.0649947422	0.043075755364	0.0491385690212	0.0436924902
d	0.632315502	0.2107737492	0.04779232437	0.0565942615984	0.0525241648188
à	0.326583412	0.444796968	0.0608037739	0.06888585954	0.0989300668814
t	0.216539699	0.628921102	0.04896906254	0.049655594286	0.0559144713703
t	0.163643274	0.571990742	0.07393530676	0.03330325784	0.157127474356
i	0.267589328	0.356118052	0.142760397904	0.113654735405	0.119877442476
l	0.089456988	0.376904836	0.357595242	0.09809220788	0.077950562924
o	0.0641408524	0.283975048	0.2471532312	0.1771786732	0.227552203
è	0.0533348014	0.10126891	0.55120069	0.117475929	0.1767195318
p	0.03029804202	0.053537308	0.270240742	0.43238021	0.21354372366
r	0.03574964274	0.044558017	0.152878538	0.492306376	0.2745075126
i	0.0594984158	0.1393180094	0.171188266	0.34265357	0.28734177964
m	0.01976151654	0.017978568	0.0613213568	0.459384906	0.44155364
m	0.015783812062	0.01975437514	0.0593342498	0.59876439	0.3063631908
è	0.07342436596	0.0503724968	0.14200058096	0.419655628	0.3145470638
n	0.01664441336	0.03241794372	0.04634431862	0.39960901	0.50498414
o	0.017409823851	0.02568374364	0.0624423511	0.475747892	0.418716246
</S>	0.013775076236	0.01924094434	0.0285924838	0.2671852946	0.671206328
