 	devo	pulire	l	albero	</S>
è	0.719479794	0.0573669152	0.034810107954	0.081677732897	0.106665434434
n	0.684069696	0.1421320006	0.05004096242	0.0583772309444	0.0653802294013
a	0.381805492	0.442008646	0.05816836402	0.050732142528	0.0672853107403
k	0.2308977084	0.543167906	0.0866792521	0.049176563624	0.090078582659
a	0.083907528	0.464478206	0.2224321994	0.09094772952	0.138234141676
t	0.1379240386	0.37715399	0.268675366	0.073011980272	0.143234670713
à	0.04377953922	0.472631022	0.1052600508	0.31193635776	0.06639308134
r	0.0745500954	0.2583481834	0.2479656518	0.223751921	0.1953840677
o	0.0366330602	0.3427468126	0.274251572	0.2030769177	0.14329150574
t	0.0458071436	0.16406165346	0.3593164948	0.2675981932	0.1632165228
o	0.028614660752	0.0977125882	0.380095853	0.38674531076	0.1068316007
n	0.03253418334	0.05816272446	0.319598415	0.314111358	0.275593217
à	0.010115883864	0.0241588957	0.124941994	0.521264888	0.319518239
r	0.017302679438	0.05984133008	0.107222622	0.53515684	0.2804766954
b	0.010098768138	0.01975891616	0.112665868	0.534905644	0.3225707754
u	0.06081587279	0.01906165925	0.2315392218	0.475861348	0.21272189466
r	0.008635856524	0.020801152494	0.0539142624	0.353971488	0.562677444
o	0.043675200852	0.04118487362	0.08593959622	0.456308536	0.372891786
</S>	0.01587111165	0.0300672612	0.0500375982	0.346527114	0.557496736
