 	mia	figlia	vuole	andare	</S>
i	0.773797576	0.06536129266	0.05090446069	0.0561410456844	0.0537956430029
k	0.485336084	0.354704448	0.047509888524	0.0537011127244	0.0587484628101
i	0.441354168	0.35140679	0.06125702548	0.066034540006	0.0799474843693
a	0.410422028	0.408181562	0.05453771366	0.0609979007246	0.0658607504533
t	0.1699342914	0.531421354	0.15939545694	0.0648946079972	0.0743542429958
è	0.22686662	0.346008906	0.126658456	0.1308448809	0.169621114504
r	0.22135881	0.4323595	0.1197242788	0.06812211844	0.158435378649
a	0.166538566	0.505123846	0.1504947296	0.0418921451	0.13595074818
m	0.19359442	0.339003076	0.269119568	0.0692725662	0.129010426866
u	0.0772971782	0.314486174	0.307954596	0.1162944516	0.183967616
i	0.0748762908	0.23529329	0.381120214	0.1324636912	0.1762465428
t	0.03530037542	0.1138325794	0.461712668	0.2147697834	0.1743845442
è	0.03699315218	0.1321193834	0.334043628	0.218952386	0.277891667
l	0.0330529316	0.0672087209	0.454888436	0.28689411	0.15795576346
i	0.0149082633	0.0514710338	0.422016594	0.222573522	0.2890304126
n	0.02205932168	0.0241423422	0.0805590998	0.547476572	0.3257627152
a	0.01257623618	0.05128288037	0.1425326692	0.45921479	0.334393474
p	0.012487901748	0.012597273352	0.02666834714	0.59025852	0.3579878086
à	0.01465361339	0.026283932666	0.0424659516	0.558947696	0.357648757
i	0.011023439248	0.023829366	0.07118926	0.554963508	0.338994417
</S>	0.009850916814	0.022391046282	0.03101284288	0.464118652	0.472626666
