 	entrò	da	qui	</S>
m	0.776953908	0.069274125374	0.0836119972852	0.0701598832164
b	0.616689514	0.12433150744	0.076413962957	0.182565158325
ì	0.488388618	0.2276355229	0.0978034212376	0.186172462264
k	0.330204544	0.502762292	0.0581735806679	0.108859549857
e	0.4789724094	0.2675719382	0.08390421606	0.169551440101
a	0.202193678	0.5225103028	0.15038895412	0.124907042974
p	0.02791109572	0.266292866	0.6064447692	0.0993513192
ò	0.09726663152	0.0847824726	0.696399222	0.1215518044
t	0.02757402194	0.07736119404	0.68761502	0.2074497688
t	0.01277601868	0.103210952	0.631526554	0.252486536
u	0.1123672564	0.1316106388	0.40706021	0.3489619338
</S>	0.0164061318	0.0467264192	0.445223704	0.491643798
