 	l	ho	sentito	quando	veniva	</S>
t	0.809392104	0.042230877	0.035119739576	0.037736397438	0.0391739886067	0.0363469138793
o	0.681103572	0.110948916	0.045617596248	0.047754548746	0.0641325845168	0.0504428592702
n	0.485396194	0.2528542	0.098849526232	0.052197200587	0.0601265476861	0.0505762982546
ì	0.199551221	0.314510602	0.1179886712	0.12398934406	0.0959053768916	0.148054940999
k	0.12672755888	0.466334666	0.231764703	0.07277756656	0.0454005770735	0.0569948990928
u	0.064873319	0.368565222	0.284144506	0.0778545092	0.073644499772	0.130917919222
s	0.0926587012	0.187374942	0.4714434252	0.1246262308	0.0656388291714	0.058257887094
a	0.03310740906	0.092629193	0.3974430606	0.244581296	0.07441581578	0.157823055104
m	0.0682182836	0.0877844726	0.1919345852	0.413248934	0.08608212763	0.152731794192
ò	0.0228667268	0.03154607136	0.0799216404	0.4360154292	0.1886536526	0.2409963704
t	0.0448448176	0.07187354498	0.08425401984	0.4946898068	0.1513465336	0.15299127154
t	0.025979141044	0.03587204666	0.11404368762	0.4129425326	0.1882147356	0.22294782952
e	0.057041948042	0.029332121822	0.07576479186	0.3632608316	0.192133402	0.28246679844
è	0.0247482458746	0.0307866052122	0.034790679984	0.128570923082	0.479331806	0.301771751
r	0.0148621216046	0.0177754977168	0.023948799732	0.115853191228	0.718825908	0.1087344932
k	0.010866280434	0.013107327568	0.049923987253	0.1474714784	0.5933916	0.1852394544
a	0.00768634253192	0.0051150771082	0.015246243076	0.14965769268	0.673596524	0.148698223952
t	0.01385320963	0.0140175244586	0.015938198348	0.038498880974	0.477951284	0.439740938
o	0.0132286568642	0.012637376166	0.0185360536656	0.0859618078	0.62617654	0.2434597176
</S>	0.015380988089	0.01486593391	0.01594576344	0.030016314	0.375258036	0.548533038
