 	quando	io	divento	vecchia	vendo	la	casa	vendo	la	casa	a	Trieste	vengo	e	abito	a	Martano	</S>
m	0.705937254	0.048505018678	0.0229832896055	0.0154502972468	0.0145849987716	0.0145246533442	0.0145442153347	0.0142232631462	0.0142195576183	0.014253226652	0.0142596303344	0.0141895708727	0.0144442760742	0.0138809470739	0.0138951794526	0.0141230160742	0.0165136723162	0.0194679072723
ò	0.3892718172	0.11720852932	0.0575109707684	0.0349400304561	0.0320344407569	0.0296279945213	0.030222076012	0.0272303906077	0.0269048686851	0.0270817786436	0.0238880326054	0.0259378543125	0.0296001146052	0.024099478885	0.0189300870047	0.0246308502852	0.0286459437402	0.0522348512045
t	0.555123834	0.1780126398	0.036337302124	0.0174382414053	0.0214507978197	0.015887043675	0.0161236251448	0.0172852719719	0.0142499686254	0.0149233503437	0.0132971549307	0.0145666166104	0.0141055424647	0.0136212737874	0.0122148661014	0.0132226991336	0.015632589243	0.0165072147223
t	0.2998594248	0.241087968	0.0717806479712	0.0553789158968	0.0334678305838	0.0271638547205	0.0325955248958	0.0248507752974	0.020295264547	0.0268549174361	0.0196150184124	0.0242972682214	0.0307294182022	0.0185510242833	0.0151395441207	0.0176104011019	0.0244375709011	0.0162847121405
i	0.2882531734	0.12518378162	0.140234087026	0.054565610247	0.0386727178494	0.0329331499462	0.0371438617144	0.032788864208	0.0247424014194	0.0317925358149	0.0214328532338	0.0344911208127	0.029238198438	0.0215893676299	0.0197844759332	0.0225471050358	0.0266203408805	0.0179863958157
i	0.1675126894	0.407766198	0.061716097578	0.0261046215312	0.024584771564	0.024948018692	0.0267930692251	0.0232413145028	0.023771472511	0.0248897109288	0.0229037502741	0.0221501768467	0.0258043858944	0.0221270125055	0.0213805233061	0.0224176454157	0.0260305209081	0.0258581371791
v	0.0557654048	0.512285208	0.1033149516	0.02543005416	0.0290642749326	0.0219940678034	0.0223344320973	0.0242854476685	0.0210298202102	0.0222837087078	0.0205442299409	0.0192449686365	0.0199949953123	0.0181940499988	0.0194823152527	0.0186679304501	0.0215319119533	0.0245522511943
ò	0.081616175	0.2583689612	0.1211368614	0.0809726176	0.059630343196	0.0400608271474	0.0350972305034	0.0402980391246	0.032382881831	0.0271778475782	0.0245269277856	0.0325012367238	0.0437056356084	0.0229784474835	0.0176403822035	0.0207697908043	0.0265508376661	0.0345850201809
e	0.048020838	0.4510893954	0.222085058	0.02520010904	0.0339133204192	0.0178361969078	0.0173232160114	0.0307647479586	0.0157573519281	0.0174488416117	0.0148532280668	0.0157490327531	0.018532215211	0.0131270345459	0.0118666625269	0.0112012458793	0.0154437894148	0.0197877164135
g	0.0273399876	0.2690878084	0.369865539	0.04566365014	0.0385519939946	0.0235485536307	0.0191210012049	0.0269902247693	0.018562908723	0.0176119153586	0.0163189003066	0.0160375596058	0.0188480604185	0.0147139866158	0.0229823238404	0.014989822977	0.017436561922	0.0223292983347
h	0.034200053	0.114854836	0.289874172	0.152533723	0.0795421653	0.040361469395	0.0301894808937	0.0468850421582	0.0267359027911	0.0212218875035	0.0187884595578	0.024789808917	0.0284826337413	0.0166328360312	0.0130215558206	0.0145191851608	0.0187034235843	0.0286635575202
è	0.0349590912	0.1625145404	0.33656865	0.115239608	0.05733251698	0.031284199989	0.0273540570406	0.0416912005983	0.0262834585114	0.0214129521412	0.0181398677484	0.0235073104509	0.0265797236018	0.014494145137	0.0120372339204	0.0143503394438	0.0163985559201	0.0198525294034
n	0.03988833104	0.1654014672	0.381952862	0.1064809548	0.06320013072	0.030118809692	0.018783600764	0.0293330624534	0.0179746516473	0.0136868824712	0.0119800321594	0.0148376253071	0.0269679771334	0.0143020879685	0.0139292423453	0.010565482841	0.0173735000633	0.0232234050029
n	0.0402567484	0.1268584106	0.306197475	0.1828444468	0.07328700972	0.027556547116	0.0234998297461	0.0455029318693	0.0235890817964	0.0198108793655	0.0178703170939	0.024170898433	0.0200970443012	0.0121538636615	0.0110112546812	0.010935751261	0.0139412960859	0.0204160422009
o	0.05074927948	0.1105551606	0.2633494906	0.1641116206	0.086432698968	0.032634244804	0.0301390154283	0.0510292377756	0.0265414914962	0.0252612401709	0.0213851457324	0.0319204453085	0.0223968532208	0.0141143966724	0.0150205687613	0.0153534697039	0.015889022201	0.0231164274111
m	0.032048366026	0.063856727	0.2548320994	0.243078262	0.1105061876	0.04010708434	0.0285658005288	0.0302425153191	0.0271194072214	0.0197187004482	0.0181848394616	0.0219534021856	0.0297754632548	0.0158313423336	0.0136389469134	0.012615690045	0.015916952484	0.0220083776721
e	0.02647029446	0.03137804195	0.1775109342	0.2816872294	0.0728709726	0.03504620956	0.0402798266	0.0371199979414	0.0308715686665	0.0345198732025	0.0259098648198	0.0339019265944	0.0349498073115	0.0229008572549	0.0181104303216	0.015139114146	0.0249974003114	0.0563356980497
v	0.03041660046	0.04029506508	0.0920296218	0.368297948	0.1584262558	0.0446160915	0.02984158596	0.0304668425222	0.0256649347518	0.0200773598604	0.0210516908612	0.0232465577503	0.0293743194609	0.0164417811407	0.0155840853542	0.0128347099261	0.0152426989177	0.0260920035683
è	0.023058435636	0.027581695514	0.093283542	0.3417290056	0.1378499456	0.0385537594	0.04052194	0.05204403336	0.026058129438	0.0286104776812	0.0257282810929	0.0354104067573	0.0262727758519	0.0189097675695	0.0151597772912	0.0124696368838	0.0183387301252	0.0384195507182
k	0.02539333852	0.03572604358	0.0881821054	0.250798579	0.278941931	0.0641347772	0.0351140327	0.035471272155	0.027759653829	0.0155188270437	0.0126658455527	0.0187693821631	0.03112541854	0.0145938930228	0.0134965620491	0.00956382690245	0.0158361724045	0.0269083684741
k	0.01927122968	0.034939547454	0.1034740448	0.3181048554	0.198850914	0.0556528322	0.0423971812	0.04401860599	0.0217141003601	0.0182510858536	0.0173365124627	0.022958175364	0.0240803505394	0.0124916162561	0.011883787839	0.0108799166495	0.016614499646	0.0270809154234
i	0.027542958914	0.037721046986	0.1151425948	0.3110701	0.1614311484	0.03791321214	0.04821057906	0.046533303782	0.0254488404914	0.029360010916	0.0250632277055	0.029345359628	0.021177712332	0.014744780456	0.013699746564	0.0159595245849	0.0160976876806	0.0235383435759
a	0.022328355054	0.02816650286	0.04373678094	0.19748624	0.25212253	0.1285603916	0.0492441746	0.053955897544	0.034057278654	0.0246902618292	0.0224177882609	0.0253301451535	0.0358613794022	0.0170359144641	0.0141137938348	0.0112303794245	0.0132290772031	0.0264332541253
e	0.01306583324	0.01738687962	0.02591046104	0.1476738252	0.231960986	0.1637591634	0.076178795	0.05750846914	0.0360486880146	0.0298425723704	0.0227152406948	0.0316783649954	0.0370577221723	0.0223933081729	0.0373290787761	0.0127892558824	0.0139733475702	0.0227280441813
p	0.034345744156	0.0368860172234	0.040023735522	0.1119402552	0.1587216592	0.1412475604	0.0740445604	0.0659046428	0.033638288168	0.03298418496	0.0287745467452	0.0361171249721	0.0469660116124	0.0278350429587	0.0729688114717	0.0192115158842	0.016415338851	0.0219750315455
u	0.015484563332	0.0179729324334	0.029174367676	0.1168497214	0.1352442578	0.147771214	0.1498311734	0.0715723471	0.03384234872	0.03546065154	0.0315102440592	0.0359581893893	0.0442391527256	0.0279691216169	0.0270248011935	0.0153180541215	0.0200985498918	0.0446781788852
