 	vengono	vestiti	</S>
è	0.825788268	0.086759107	0.087452674628
r	0.78600347	0.09070424522	0.12329223532
k	0.672769448	0.18507258754	0.1421581468
u	0.594399456	0.1518447428	0.253755799316
t	0.1619596346	0.703332758	0.13470753708
t	0.219373024	0.488536232	0.292090868
e	0.296790293	0.415487514	0.28772226652
n	0.0454051442	0.577253866	0.377341184
d	0.02716559676	0.532305255	0.440529164
i	0.0688739066	0.466289888	0.4648361532
m	0.0273578374	0.266431446	0.706210766
è	0.03095995502	0.3001035229	0.668936536
n	0.0902435754	0.386518312	0.523238118
a	0.1278655024	0.250402976	0.621731404
</S>	0.0368590808	0.161126002	0.802014892
