 	vuole	pianto	</S>
e	0.760807084	0.1425983452	0.096594584208
t	0.753583496	0.103178417093	0.143238009571
è	0.627890402	0.11394973826	0.2581598724
l	0.59561732	0.199210888	0.205171747626
i	0.518613684	0.1218149371	0.35957134488
k	0.1383642724	0.5210497872	0.3405858472
l	0.103654963	0.35381044	0.542534546
a	0.228656713	0.32012001	0.4512233568
m	0.035209046	0.3528381	0.611952876
m	0.03090825439	0.371911073	0.597180578
è	0.13542287052	0.30388083	0.560696465
n	0.055642118016	0.395460324	0.548897452
o	0.117780195	0.389091764	0.493127996
</S>	0.0377593102	0.368626332	0.593614188
