 	non	sono	ancora	vestita	</S>
e	0.808612716	0.056802488296	0.04304017912	0.046526657158	0.0450179607041
n	0.682444714	0.1367616092	0.076608404248	0.0474028881442	0.0567825087571
ì	0.243143466	0.504210742	0.09928912532	0.047227012418	0.106129564238
m	0.2161510036	0.599194158	0.097014321	0.03525156119	0.052388904575
e	0.1251767948	0.542416364	0.1087031158	0.0515471211	0.17215660078
a	0.0927933008	0.2741163812	0.535377868	0.049514924808	0.04819744462
n	0.0428078422	0.0876927892	0.71679822	0.066192278	0.0865088074
k	0.0523550576	0.1002187846	0.502516686	0.1074947498	0.2374145904
ò	0.1550295798	0.1010070546	0.266105969	0.1284194278	0.3494380052
r	0.038722256	0.1737320812	0.3070050192	0.1775598312	0.3029807928
a	0.04545373	0.1582394016	0.4182313728	0.1187467374	0.25932876
e	0.0387699951	0.0422813992	0.16992225966	0.413432777	0.335593468
n	0.0120043324794	0.013729018712	0.04448284104	0.640154448	0.2896293186
d	0.012266989294	0.02074198256	0.0529585614	0.462351118	0.451681356
i	0.037221610766	0.024158328	0.0307112506	0.3389115932	0.568997334
m	0.009725108725	0.01320990316	0.0372339995	0.39144733	0.548383868
è	0.0169287238604	0.01014897534	0.036682490504	0.525989646	0.410250178
n	0.02411400731	0.03459207844	0.09619442986	0.419062704	0.426036836
i	0.0306664280164	0.03439287486	0.05612218414	0.374372584	0.504446022
</S>	0.01786106893	0.0199229758	0.05408749898	0.27627676	0.63185186
