 	non	ha	da	mangiare	</S>
e	0.806338142	0.05369377222	0.044477832148	0.048251073129	0.04723908892
n	0.586244846	0.214845476	0.08334170146	0.0557762338409	0.059791777572
è	0.15695968	0.516488258	0.10865354	0.095800311819	0.122098208171
c	0.165270216	0.52360247	0.188340578	0.05981578292	0.06297105642
h	0.0703463784	0.4143525	0.337870434	0.093313305	0.08411754246
i	0.0974980678	0.2925012304	0.437915654	0.0837353574	0.088349676
n	0.0309623886	0.1219550772	0.56069289	0.142919442	0.143470198
a	0.02155369734	0.0764915698	0.494666126	0.1809231652	0.226365494
f	0.01941734666	0.0283517546	0.1584965384	0.60049518	0.193239136
à	0.024653466262	0.0269979459	0.0933837032	0.542811912	0.312152962
i	0.049920593572	0.02613600136	0.0692182924	0.686285514	0.1684396524
</S>	0.0186234717586	0.01214883862	0.0527326877	0.460721898	0.45577319
