 	vuole	pianto	</S>
i	0.760807084	0.1425983452	0.096594584208
t	0.751927714	0.105678187528	0.142393992181
è	0.622859546	0.12003450134	0.25710574788
l	0.604808332	0.195235072	0.199956560254
i	0.502211288	0.13646822216	0.36132033474
k	0.1376495814	0.521258204	0.3410921182
l	0.1034703936	0.353456734	0.543072816
a	0.2261775192	0.321840402	0.4519820032
m	0.0345720586	0.350889728	0.614538208
m	0.0308159785	0.367003452	0.602180516
è	0.13527068068	0.302128212	0.5626011964
n	0.05522970911	0.393160708	0.551609628
o	0.1175853424	0.38821164	0.494202926
</S>	0.0377328998	0.36861753	0.593649472
