 	stava	ancora	cucinando	</S>
ì	0.69031988	0.0871931767	0.115805796404	0.106681194011
s	0.77408014	0.0698906295748	0.0773863373809	0.0786428707641
t	0.73618963	0.1285008882	0.0632453415	0.0720641246
i	0.56909911	0.193090935642	0.108497675848	0.129312144372
g	0.61401078	0.2063930706	0.0792128686474	0.100383258103
g	0.549646048	0.2278597	0.078050596832	0.14444364748
h	0.577104106	0.129076527856	0.0803713804205	0.213447965101
e	0.62515085	0.140504289204	0.0642089273105	0.170135934068
a	0.101444342	0.641767852	0.08725382792	0.1695339692
n	0.060616356	0.588588322	0.1134452186	0.2373499503
k	0.1363529306	0.534428288	0.0969237898	0.2322950248
ò	0.2592881656	0.2915765574	0.1130000922	0.336135114
r	0.1150258882	0.283530061	0.289771188	0.3116728412
a	0.09844180884	0.494777828	0.123610163	0.2831702008
m	0.0332186996	0.12323498326	0.288330004	0.555216238
a	0.0553159888	0.215115448	0.48004898	0.249519538
r	0.0189505142	0.0551682238	0.430139836	0.495741306
è	0.02865188038	0.0711691962	0.484216002	0.415963002
o	0.0350030628	0.06685263458	0.46016919	0.437975126
n	0.01305029022	0.04391835942	0.41008169	0.532949782
t	0.05607840192	0.07840413106	0.466952134	0.398565404
a	0.1662310718	0.0759532812	0.327459564	0.430356106
</S>	0.0424730326	0.0470294514	0.34929307	0.561204384
