 	forse	non	li	ha	a	casa	</S>
f	0.781011722	0.04889137428	0.034203824592	0.031398751185	0.0315598768974	0.0391040777329	0.0338304713731
ò	0.579100422	0.11078880164	0.0562777530859	0.0565188301432	0.0616489346635	0.0666055971595	0.0690597788134
r	0.612991234	0.178016274	0.052153261516	0.0408486753386	0.0374855418943	0.039470821662	0.0390341210705
s	0.483777858	0.23186168774	0.10020320312	0.0483147890283	0.0328362652161	0.0446150749468	0.058391018981
i	0.516370452	0.153906765701	0.12806732264	0.0668127933439	0.041701834137	0.0504214686014	0.042719335446
e	0.2025820982	0.425341286	0.1981488121	0.0500362431505	0.030900984874	0.0310371173758	0.0619534327316
t	0.06561131986	0.3553993732	0.31632995	0.07657817446	0.0695799778844	0.0522662694832	0.0642348270882
u	0.0400553332	0.0730742624	0.481374002	0.14617927	0.098829706	0.0777390283	0.0827483031892
s	0.05435357192	0.185131082	0.313623039	0.2217439632	0.07230312098	0.04463554775	0.108209561703
è	0.0222422394	0.03478544588	0.1986072512	0.2730616248	0.1241986526	0.2009716649	0.146133160676
c	0.0440826372	0.0627494066	0.149487936	0.472868928	0.1119501372	0.07921000756	0.079650769994
h	0.01845656394	0.0331412202	0.1177247832	0.29790939	0.187068372	0.223522152	0.122177514294
i	0.050390933	0.05213253674	0.073508156	0.280947972	0.2311830376	0.1245107118	0.187326722814
è	0.01187641794	0.01885027388	0.03155662444	0.17363977	0.402904716	0.1516262872	0.2095460794
s	0.00909632494	0.009643983686	0.02615532122	0.134998933	0.276078524	0.460421668	0.0836050322
s	0.01117774742	0.0116708819508	0.026070035494	0.1094167988	0.330159388	0.422646804	0.0888582708
u	0.033863040506	0.0115840049	0.05617898072	0.0592071918	0.315386542	0.373903563	0.14987673034
</S>	0.0122261510868	0.014371262848	0.0143832851308	0.03679138272	0.1225365988	0.437217798	0.36247362
