 	non	avete	mangiato	mai	un	rustico	</S>
e	0.799454204	0.045708559434	0.032452833992	0.0302373731008	0.030514558604	0.0306779503129	0.0309545756283
n	0.440573424	0.373305362	0.038630542728	0.0349844435329	0.039074326323	0.0356418519559	0.0377900869546
è	0.1323603172	0.553517604	0.1120214436	0.04834243684	0.0410494146928	0.0449556475278	0.0677531180896
c	0.187106376	0.469271386	0.1964584054	0.041564635752	0.0367558886888	0.0329606257742	0.0358826133374
h	0.1025370581	0.374636156	0.33260117	0.0776162692	0.04327955213	0.0312527743679	0.0380770083413
e	0.0855310202	0.409567318	0.28949102	0.0943683428	0.04217341874	0.0382369617117	0.0406317805982
t	0.0539075812	0.196933839	0.511346094	0.1128894634	0.044678134026	0.0378162545086	0.0424286414654
e	0.0565951205	0.169711408	0.40458949	0.192238136	0.06023471204	0.0427848651416	0.0738461544069
f	0.0498983076	0.0771452152	0.349051782	0.341622386	0.07468091234	0.0442165639171	0.0633848826908
a	0.048117614374	0.10855303358	0.2037673416	0.330714994	0.14800395	0.05195636444	0.10888670232
m	0.0342556964	0.0454938882	0.1475085694	0.46147139	0.1586538186	0.053154106182	0.099462408344
è	0.033544654824	0.05246343704	0.0729624166	0.462220914	0.181843211	0.074345219	0.1226199526
n	0.0214596889	0.0595357324	0.0894254052	0.378452262	0.26780484	0.0322762	0.15104584064
a	0.03349613814	0.0445076521	0.090385535	0.458365238	0.1785092708	0.03265007232	0.16208608162
m	0.0176280969	0.0249384544	0.037391074	0.1558869692	0.4307542412	0.0994291134	0.2339720584
à	0.020227711448	0.0296361977	0.0256983143	0.19621382	0.3361702912	0.153777982	0.238275637
i	0.0120414308	0.0262596912	0.042719328	0.1323899268	0.3782473014	0.156482027	0.25186024992
è	0.015521932585	0.016787249016	0.02328264638	0.0650233283	0.4101224234	0.216553988	0.2527084942
n	0.01151728	0.02218696202	0.02289857084	0.0482327248	0.278980009	0.410510292	0.20567411964
a	0.027583134132	0.03053180522	0.04043883488	0.0685357377	0.391855424	0.1839196428	0.2571353776
n	0.0289150042413	0.0297550184312	0.0323479242	0.03933068993	0.12215688426	0.544616508	0.202877996
r	0.00690283999	0.00973869646	0.012399884384	0.03239610044	0.1371340852	0.444324486	0.357103888
ù	0.010032912472	0.01811148576	0.00641239972	0.01465291602	0.0910727238	0.48802015	0.37169737
s	0.00746215802	0.00827663244	0.01131693418	0.01562215112	0.0493116338	0.505917996	0.402092546
t	0.007365333806	0.007906639726	0.01140057292	0.02256841712	0.0808967818	0.505498744	0.364363402
i	0.0150656806805	0.038456965668	0.015662105864	0.024657267334	0.0577526988	0.42047392	0.4279313264
k	0.013343169175	0.014720249488	0.01793658386	0.02046348224	0.0376995122	0.43440948	0.46142743
o	0.0066821198578	0.008182473826	0.00792379292	0.015230042724	0.04626667554	0.471864814	0.443849974
</S>	0.0200780416228	0.021436146972	0.0228786076	0.02302582712	0.0566116692	0.296261924	0.559707842
