 	i	genitori	non	è	che	li	dimentichiamo	mai	</S>
u	0.765287548	0.0645725402	0.0277220474	0.023706198802	0.02350510889	0.023640478264	0.0234993385311	0.0239054379097	0.0241613547091
g	0.465375387	0.3285904016	0.032900123668	0.0258489066824	0.0256931948741	0.0257421263394	0.0259602192499	0.0304605712987	0.0394290249155
e	0.384478544	0.27492988326	0.0599608649	0.04484861284	0.044218030632	0.035765893206	0.0276902722602	0.0480193294546	0.0800885328522
n	0.251257396	0.497561572	0.0491120194	0.031455064386	0.0275511076715	0.0277410985749	0.0282009872273	0.0361354502122	0.0509854396113
i	0.204366706	0.2935086188	0.0736366708	0.074835298	0.073590367434	0.055775139325	0.031575352811	0.0684073023203	0.124304586681
t	0.153882492	0.477259678	0.146630982	0.0362297736	0.0286099077823	0.0274023882385	0.0257482626377	0.0375389787042	0.0666976788049
ò	0.1632557428	0.240253491	0.1009376946	0.080123306	0.087404912	0.0619892626	0.04283678048	0.0631911492184	0.160007674007
r	0.123472132	0.3604289	0.2193914572	0.1050273492	0.038369555988	0.0224832578186	0.0238236151365	0.0343847765341	0.0726188728549
u	0.1051317192	0.298073368	0.1714950556	0.1532981212	0.09976757748	0.03834953332	0.0285436095634	0.0345064236893	0.0708346529277
e	0.0699896316	0.158691594	0.3798971988	0.195244598	0.0388804427	0.02793110006	0.0220480218598	0.0232925679794	0.0840248835266
n	0.08241381454	0.1153648546	0.2145981998	0.279496693	0.09949557	0.05245025386	0.05261380712	0.0348153689685	0.0687515595609
è	0.0586872856	0.06606728996	0.1044924252	0.2236423478	0.216023082	0.1183985804	0.0417681499	0.04283756773	0.128083131191
n	0.06617846964	0.105030188	0.0998399012	0.26610188	0.26392896	0.0487602876	0.04069118792	0.0269398823656	0.0825291078429
u	0.053019364983	0.057423304764	0.06308503194	0.199226878	0.359509823	0.08514207	0.0355662264	0.02597730386	0.12104976846
s	0.0421056684	0.0446762186	0.0788115094	0.098788444	0.3145576454	0.188741043	0.0707787204	0.03889867998	0.12264206816
a	0.0464470950692	0.0233074934776	0.01771201812	0.0829378772	0.362187188	0.175741088	0.1273700716	0.048049941	0.11624735076
l	0.01700885918	0.01941247768	0.0424765214	0.0467903892	0.1850812562	0.28649112	0.185692272	0.0837656239	0.13328128814
l	0.0259808253774	0.0246065124688	0.02734713482	0.0481380636	0.2137119232	0.10692374	0.354959216	0.075834102	0.1224985087
i	0.0270886847869	0.018004453148	0.047857937246	0.04075514846	0.1417115928	0.1217860594	0.283529518	0.0847597924	0.2345067946
m	0.011633082692	0.01262557216	0.04059142388	0.02895983672	0.0816787504	0.146510802	0.176021603	0.30383659	0.1981421936
o	0.008553486044	0.006041110938	0.008519377828	0.02101934454	0.06151621404	0.0975976798	0.531644446	0.0757985394	0.18930980546
n	0.020126705606	0.030418464348	0.036035401108	0.02556699917	0.04501007634	0.1012151158	0.250092286	0.2442421892	0.2472926474
ì	0.005401621	0.005523647106	0.0072116964	0.01326351992	0.030312071	0.055232599	0.381651106	0.17456849	0.326835318
s	0.0073207445216	0.0089440042195	0.020489756466	0.01195830399	0.02610583572	0.0637822058	0.206676124	0.411449984	0.24327287614
o	0.008400873924	0.008177562432	0.00806671478	0.0145844417752	0.022521945212	0.05395025208	0.306142275	0.288995521	0.2891605554
m	0.00788809843	0.0075721987114	0.009925444238	0.008145880728	0.01004360274	0.01595140336	0.07371193432	0.603250656	0.263510772
e	0.012314373398	0.008097360504	0.005458212264	0.01223278644	0.0261388401	0.03917394736	0.2314211444	0.344126282	0.321036994
m	0.0074141031724	0.0072904688222	0.012590732656	0.0074359223748	0.010968451814	0.01636053418	0.04052830714	0.633675668	0.263735788
a	0.014036147708	0.005349857748	0.002790260366	0.007238048894	0.01986133986	0.03019012058	0.1855901094	0.36588258	0.369061696
i	0.0069035699976	0.0076097513436	0.012948833586	0.00763222401	0.012400273234	0.0188547883	0.03848574168	0.58549678	0.309667878
</S>	0.0133980594088	0.0144128827478	0.0145983708719	0.0138990947742	0.0146408313164	0.01616569842	0.05486742584	0.461209006	0.39680872
