 	ho	cosa	a	fare	</S>
è	0.784315878	0.06982426166	0.04433848204	0.05425533762	0.0472660190885
c	0.564035636	0.225229314	0.07052499958	0.0632992735087	0.0769108062365
h	0.20504679	0.454846064	0.196482011	0.07201908406	0.071605981356
o	0.22857779	0.532243018	0.1047807226	0.06943430712	0.0649640829968
t	0.0921705378	0.414116002	0.342355314	0.0639051002978	0.087453059466
i	0.03486386024	0.2531602324	0.3977919804	0.1432198522	0.17096415764
k	0.040630704	0.0844903996	0.4599437212	0.2084760068	0.206459132
à	0.022465456152	0.0282955437	0.22818547	0.54852173	0.172531658
i	0.0311331722	0.037985634	0.1674418758	0.428498372	0.3349408936
</S>	0.010330959352	0.01322085062	0.0753491806	0.526018372	0.37508067
