 	io	non	ho	cosa	da	mangiare	</S>
e	0.669528186	0.1514317264	0.0395816320912	0.0330295060036	0.0327988210255	0.0372079379221	0.0364222050509
v	0.643338202	0.11899626694	0.044572199242	0.0398922038878	0.0523599326932	0.0497265072939	0.0511147608154
ò	0.465018228	0.1044764278	0.0913276716	0.0662826502	0.06895010066	0.0887006262142	0.115244236801
e	0.260636672	0.482204288	0.09898648856	0.038468025253	0.0384073162356	0.0407829891253	0.0405143462253
n	0.142833246	0.490093992	0.1537622666	0.07094446242	0.053791460155	0.0396625100759	0.0489120595331
è	0.0713417818	0.1807873876	0.462356146	0.1078671784	0.04948651908	0.053262576974	0.0748982460172
c	0.11449315446	0.2762344486	0.367061088	0.1128363684	0.04719865446	0.0387710753896	0.0434052604522
h	0.0526856432	0.0691081392	0.326149463	0.25691705	0.1096016465	0.09273882359	0.092799208108
o	0.05369981006	0.07092453134	0.265241198	0.42555607	0.0812388958	0.049152675632	0.0541867689
t	0.0231248588	0.0294070616	0.1465358348	0.430243004	0.232308328	0.0539876368	0.08439311086
i	0.01405434768	0.01852050577	0.0998446526	0.41652664	0.2155971392	0.06454496704	0.170911906
è	0.01646360394	0.02375310544	0.0370193214	0.1338349686	0.444837959	0.1269881646	0.2171026326
n	0.0105622581754	0.014496826689	0.0303536096	0.1074464686	0.480499552	0.2064821204	0.15015904314
a	0.029111764032	0.029507676554	0.03685310704	0.09324210386	0.385353786	0.2451319268	0.18079959924
f	0.0128991471494	0.0129821410116	0.015222148606	0.02292273164	0.122868197	0.638748758	0.174356763
à	0.0305170710622	0.0089480435064	0.028349995716	0.05902280473	0.1462204924	0.481613592	0.245327876
o	0.015993108496	0.022056520714	0.01841527362	0.0296228993	0.1176548846	0.581667098	0.214590217
</S>	0.0067129805235	0.0135637752972	0.008129090486	0.01391938108	0.0614880145	0.516013164	0.380173728
