 	non	deve	magniare	la	sera	</S>
e	0.793265696	0.054782662684	0.038046154292	0.036686532776	0.039497437714	0.0377214817035
n	0.59045577	0.2057872924	0.05416688138	0.0562878033847	0.0453210193528	0.0479811118595
è	0.1332242994	0.481918728	0.15148941492	0.0635407511	0.076313893659	0.0935128820154
n	0.1495377454	0.579770966	0.1379854128	0.0407416474	0.0349253062789	0.0570389308
a	0.09240405626	0.43671533	0.289044244	0.0647707798	0.041775861712	0.075289611006
f	0.0600904298	0.1339471414	0.473005822	0.1452830338	0.044014635264	0.14365888694
à	0.02756194136	0.0521786472	0.44903875	0.2460190614	0.123871282	0.10133036148
i	0.06081724136	0.0874561834	0.320572717	0.3145871654	0.02496918534	0.1915973306
t	0.017013790448	0.02823030382	0.1141115686	0.590235584	0.1029914867	0.14741745686
o	0.013837912012	0.025799694306	0.125100129	0.482777106	0.243015866	0.1094695518
v	0.018148926016	0.02044749119	0.03496402202	0.307080114	0.466445957	0.152913511
r	0.0074282856	0.00824400861	0.02428092382	0.180801333	0.590907042	0.188338508
à	0.00164128064	0.0041152347	0.00547480948	0.1359424188	0.628633002	0.2241932369
i	0.019148889618	0.01604369192	0.05658313752	0.16926751	0.458798222	0.2801586356
</S>	0.0148517387167	0.0123091331932	0.014434155874	0.047532689	0.488314286	0.422558158
