 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.6518271392	0.1367467832	0.0289370154	0.022757256988	0.0226307396771	0.022700407552	0.0226788848869	0.022618316715	0.0234077406753	0.022668555399	0.0230273190834
a	0.61425272	0.1393138266	0.031964936634	0.023011281538	0.0241801441145	0.0260958301724	0.024621839223	0.0266678248484	0.0268607201763	0.0336450672819	0.029385793402
p	0.26308286	0.467261409	0.036807785414	0.0258176883321	0.0259065587814	0.0258415429342	0.0259797976764	0.0268586492512	0.027939237781	0.0415363464535	0.0329682455973
e	0.2684082588	0.346334688	0.0602586022	0.07391617514	0.0279863418868	0.0273261141282	0.0291104216636	0.0266532784016	0.0288086797702	0.0469472595802	0.0642501628983
d	0.1962418452	0.476825706	0.0587469468	0.03010383332	0.0287668226928	0.0285954298335	0.02903798636	0.0305500193019	0.03229512712	0.0456400675096	0.0431963239528
ì	0.140225082	0.385148724	0.119835915	0.0580400259	0.0339305877568	0.0351438789914	0.035749803126	0.0326810262062	0.0363128892742	0.0532561371299	0.0696758006877
a	0.0969230992	0.4356274832	0.230767682	0.040879603	0.022609641361	0.0281097438504	0.0265023144441	0.0256820056106	0.0290810220748	0.0258888291486	0.0379285928929
m	0.0790929152	0.226627018	0.382717146	0.087489007	0.025356662802	0.0239957014313	0.027584542413	0.0299148175798	0.0328685170036	0.0382975945054	0.0460560510206
i	0.1248714536	0.1712431978	0.2352003636	0.143707745	0.04560539478	0.0573651057308	0.03556843013	0.0321554465553	0.0388589565931	0.0380855232556	0.0773384604085
n	0.0789064034	0.1270767106	0.36831893	0.1832669466	0.02824779664	0.0257748509614	0.0294067261428	0.0310029473006	0.0322164470919	0.041426406873	0.0543555978202
c	0.0520948126	0.08091881346	0.314425981	0.2053902712	0.0775193848	0.061168172058	0.036403984	0.026264492106	0.0300088430816	0.0329018686356	0.082903450707
i	0.1250700204	0.10719211468	0.1242616899	0.2345530268	0.11028099	0.0659097548652	0.045574590512	0.0381941483008	0.0488594830329	0.0411640409089	0.0589400027611
à	0.0521501214	0.09276914268	0.275695202	0.228349257	0.08958753214	0.04231833652	0.034654607	0.0328655960052	0.034131759557	0.0507363462659	0.0667421002192
è	0.03110079364	0.05861554926	0.204198558	0.419078666	0.0652237788	0.043814681692	0.04065383824	0.025792092722	0.0280320814505	0.024473198967	0.0590167006271
r	0.027272759612	0.051205732892	0.1359794248	0.48581012	0.0749266893	0.0570172092068	0.04148668644	0.0229725255459	0.0244468223881	0.0195254301343	0.0593566416931
k	0.0463685356174	0.047174546034	0.1090102068	0.395370305	0.1266297252	0.0702855331	0.05796058446	0.03077575319	0.021379467117	0.0295593883552	0.0654858957312
