 	l	ha	scritta	</S>
t	0.814784448	0.06024081546	0.06057795102	0.064396897503
o	0.740857354	0.1049873758	0.0750759127489	0.0790793261134
è	0.298733238	0.496816296	0.0821027710246	0.122347627954
g	0.12068958	0.612760584	0.14338935912	0.12316046146
r	0.077874596	0.4664541708	0.212281044	0.24339010992
a	0.1577051144	0.36409636	0.2279721262	0.250226406704
t	0.0361721226	0.0797575876	0.581846934	0.302223416
s	0.01416501224	0.0496138216	0.69614618	0.2400750052
e	0.04022559026	0.0376456766	0.573905976	0.3482227042
</S>	0.01517695436	0.0322883714	0.354514109	0.59802068
