 	viene	fabbricato	</S>
è	0.737582908	0.1489442432	0.11347271842
r	0.6584144	0.22892626196	0.11265936652
k	0.5156851	0.3797277231	0.104587156226
e	0.515842322	0.27388991	0.2102677835
t	0.134835554	0.592351098	0.2728134646
e	0.3226531434	0.3238663	0.353480542
f	0.073318254	0.460574948	0.466106873
a	0.0564627894	0.656320774	0.287216472
b	0.0734583804	0.3944105552	0.532131164
b	0.03689970942	0.494036481	0.469063794
r	0.0771432946	0.501988892	0.420867886
i	0.098913318	0.387545722	0.51354092
k	0.03970137628	0.515186466	0.445112128
à	0.03516628368	0.3453174032	0.619516342
t	0.055344661	0.487943048	0.456712324
o	0.05813778346	0.320207074	0.621655132
</S>	0.0449644884	0.310109939	0.644925552
