 	ho	messo	uno	specchio	sul	muro	</S>
è	0.77031417	0.06928293764	0.031967996486	0.0331154233756	0.031136181382	0.0319716232545	0.032211675174
v	0.442610432	0.3542304038	0.03790211416	0.0383838590452	0.045561691423	0.0388102040071	0.0425011896773
a	0.207924544	0.48826422	0.0635072858	0.05803466998	0.058754810126	0.0407711831134	0.0827433658003
l	0.310970924	0.457223124	0.055818977126	0.0371589445189	0.0394468530285	0.0406845028708	0.0586966884359
a	0.131610673	0.458283576	0.18486749832	0.0597135711	0.044433839906	0.0425929521999	0.0784979932818
è	0.1818468884	0.346151894	0.2452427446	0.04204799724	0.038907968074	0.0497279747647	0.0960745603626
n	0.07845226444	0.1636500508	0.526850448	0.1029417968	0.03039209496	0.0223126639936	0.0754006824487
a	0.08884542882	0.1748695838	0.413048868	0.130401694	0.03968376166	0.0287006012223	0.124450261253
n	0.09238149434	0.0873671478	0.42368791	0.1962499846	0.0768081837	0.0352012561089	0.088304136734
j	0.02302654562	0.02845977764	0.384020272	0.269950486	0.0974068064	0.03785202628	0.15928403794
a	0.0395572456	0.0672954388	0.2240000574	0.2840557	0.1417306416	0.0590554717	0.184305233256
l	0.03827381582	0.04623456126	0.1144381006	0.369003722	0.18981687	0.08727642296	0.15495671
ì	0.010372998192	0.01740676068	0.096040535	0.295875692	0.2032492826	0.1207558586	0.2562988854
s	0.03023269304	0.044798357	0.1413371202	0.1728213492	0.328840755	0.0857342485	0.19623542048
t	0.01016074882	0.022545159324	0.10617906834	0.342802226	0.268841782	0.07218468434	0.17728641566
o	0.0243296465	0.047697547528	0.0748020228	0.162054261	0.393392606	0.114884777068	0.18283911782
t	0.02317786938	0.02473219422	0.0353758245	0.0618106316	0.2904076011	0.299107138	0.265388712
ì	0.005595263748	0.007076392288	0.02421066884	0.0719844736	0.281951812	0.34949783	0.2596836283
c	0.007930171576	0.009115670176	0.02090034412	0.0468657482	0.2129089974	0.550368006	0.1519110774
h	0.010975638746	0.01256818371	0.026235825416	0.0502870898	0.197241112	0.536242842	0.1664493472
o	0.029215993768	0.033254405768	0.026210641904	0.05212711426	0.21728347592	0.492906452	0.14900208
</S>	0.013490465778	0.0071758822932	0.00881877426	0.02603234888	0.04450747028	0.527898548	0.37207651
