 	il	cibo	vuole	mangiato	appena	lo	cucini	</S>
o	0.79003884	0.04681274048	0.029750381224	0.0264396694433	0.0266142954854	0.0262930255374	0.0271149171238	0.0269361087803
m	0.4899614932	0.3161337096	0.037203013974	0.0296751629469	0.0302701817855	0.0300031735541	0.0316684314845	0.035084846195
a	0.43348383	0.2467639768	0.1173685132	0.039440335806	0.035962193208	0.0338998865556	0.0362469167228	0.0568343297378
r	0.23289164	0.522747094	0.05232980178	0.0360605774214	0.0348421283068	0.0358820083909	0.0413666719041	0.0438800915988
ì	0.182846726	0.4593029988	0.1434522286	0.04285166752	0.0367229007	0.0302891876477	0.0333414469501	0.0711927855197
o	0.091136442	0.535784778	0.18562699	0.04079463186	0.0360455075808	0.0309185027132	0.0301904802411	0.0495027316686
e	0.0616079526	0.3486832732	0.37401051	0.0659698234	0.03400981156	0.034278741513	0.0355405332918	0.0458993503122
t	0.05560707746	0.1022750694	0.53946062	0.124417526	0.03694436932	0.0398213151448	0.0445139781879	0.0569600802438
è	0.05525412106	0.0649529474	0.492354904	0.158531762	0.05208905246	0.03380524332	0.0334177207912	0.109594162482
l	0.0501233878	0.101843154	0.505675924	0.1675038268	0.0354094549	0.0296076064552	0.0254492157683	0.0843872930131
i	0.04315524418	0.0723060196	0.489465392	0.18097536	0.070080276	0.0306078396515	0.0341025559582	0.0793073853067
f	0.039072490592	0.04246242924	0.1695597466	0.523403256	0.091845134	0.03115664382	0.024166069048	0.078334148125
a	0.04766189227	0.0415369881	0.213430776	0.327042662	0.220390908	0.04880371736	0.036646656106	0.064486406486
m	0.03106643906	0.0339740657	0.0634394268	0.447451204	0.197687058	0.03616833	0.02569815544	0.16451539369
è	0.03096112271	0.02414464402	0.0617320714	0.226275825	0.393700888	0.1197148104	0.05231162162	0.0911589276
n	0.0239343424	0.0326019682	0.0869640514	0.2952658328	0.301885404	0.0868991918	0.02016529234	0.1522839276
o	0.035630151456	0.042350414136	0.0678454952	0.328796826	0.318090572	0.04807439946	0.03108317782	0.12812895488
a	0.025174002728	0.02366686542	0.033849535	0.1413994248	0.3021905588	0.225860258	0.078690411	0.1691688184
p	0.014040795986	0.013725119024	0.01599214524	0.06470674466	0.29100029294	0.28127784	0.1238672958	0.1953898586
p	0.02084040936	0.01402946902	0.02563403284	0.043579064	0.389933128	0.2526700366	0.0610746074	0.1922391422
è	0.10213080562	0.01897053898	0.0285697904	0.0654588836	0.1961322672	0.177201726	0.07681906468	0.334716964
n	0.00898542314	0.010035497568	0.0220225418	0.1046072688	0.2160218646	0.259943672	0.0972661826	0.2811176034
a	0.013324991052	0.0164450959772	0.0228055623	0.0726944586	0.298616783	0.2352529033	0.0546512052	0.2862090858
o	0.011708337508	0.009876967502	0.01055425447	0.02475922397	0.04057266718	0.2387873186	0.323949706	0.339791512
m	0.009850595652	0.00783110593	0.00856966086	0.0174452978	0.04266209612	0.19621218188	0.42709349	0.2903355528
a	0.02987467854	0.00595991608	0.02730352527	0.02561946306	0.16228194094	0.2745746658	0.110471084	0.3639147872
r	0.0078901980106	0.0065836902588	0.0076782205412	0.01677704702	0.01927472758	0.10023875966	0.4035159	0.438041366
è	0.010229171244	0.006917205872	0.010644132312	0.014117360314	0.07322165408	0.1062039606	0.401581444	0.377085038
i	0.00778751888	0.00779587414	0.010362111968	0.0410291285	0.039509913	0.0757786928	0.441423478	0.376313316
</S>	0.0083004743406	0.007807136256	0.0110679210612	0.013563518732	0.03219178448	0.06078963768	0.41605426	0.450225256
