 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.76557914	0.07694225036	0.046853377666	0.0371032345212	0.0367012252655	0.0368207038368
s	0.551049542	0.2148725876	0.0691054804728	0.0522995184587	0.0644718734764	0.0482011539186
o	0.2399803	0.501528074	0.1149426246	0.04441873834	0.0549731244016	0.044157070477
s	0.177664658	0.541416754	0.1376876308	0.0424692787465	0.0503754756429	0.0503862146696
e	0.0853433162	0.320204526	0.3846221532	0.05583892304	0.0785469755588	0.075444097512
è	0.1223133426	0.21751369	0.478451474	0.05277762132	0.0515940518808	0.0773497326148
m	0.07313765588	0.1073079018	0.583298748	0.1091754232	0.0353296866203	0.0917504651868
b	0.06151953946	0.0694573866	0.380293074	0.2931218528	0.059297522954	0.136310539664
i	0.076024158	0.0764963716	0.3974829728	0.20262294866	0.0953198461086	0.152053551752
à	0.05615627672	0.0677607756	0.177136646	0.519018124	0.062380959	0.117547165502
t	0.02350570664	0.0296792111	0.1122741122	0.526954894	0.147538636	0.16004735814
t	0.03941927248	0.0428490522728	0.1373573202	0.482163802	0.11300239	0.18520823426
i	0.01636783046	0.0705527582	0.1732277112	0.3566162184	0.219388270616	0.163847162254
f	0.02918471166	0.03337982434	0.0422148463	0.1672365908	0.429813858	0.298170136
i	0.0123566068	0.012931691246	0.0331002214	0.227759739	0.433544818	0.2803069256
n	0.01605380893	0.016062514944	0.0205827582	0.0360109148	0.590409068	0.320880926
è	0.007733692694	0.007477373412	0.02161440198	0.1379309828	0.5668714	0.2583720766
s	0.009508955672	0.009618938132	0.01713758686	0.0494242112	0.679317312	0.2349929702
t	0.00611932089	0.0061967611108	0.01167466482	0.0826171428	0.50699087	0.386401088
r	0.01165399066	0.050327594632	0.0892866313	0.094921308	0.328972476	0.42483820118
a	0.011456015942	0.011710601702	0.03262035024	0.120138181	0.432042224	0.3920326556
</S>	0.01142562428	0.009683292504	0.0147491616	0.0666052099	0.408068024	0.48946863
