 	dovevo	comprare	il	pane	</S>
ì	0.554147666	0.0770507912	0.0976538353	0.11274736594	0.158400523058
c	0.66374826	0.0662915554	0.0697217749	0.0952292133417	0.10500925558
h	0.50755529	0.2965649248	0.053865084	0.05817294753	0.083841708169
a	0.49993623	0.287127105	0.0783658034	0.05488499654	0.0796858248017
n	0.463749728	0.37406659	0.04982892364	0.0493256101442	0.0630291283494
a	0.414193002	0.368412816	0.0681934248	0.05261941114	0.0965812706876
a	0.18072118	0.575317846	0.118498238	0.041440480362	0.0840222452574
f	0.0743830554	0.57765953	0.1718013974	0.043313839	0.1328421179
o	0.04906079822	0.2374419252	0.432620058	0.183808994	0.09706835976
r	0.0479182636	0.2493174848	0.41814334	0.0612535126	0.22336740734
à	0.03159829494	0.29765041	0.340224196	0.175387648	0.155139634
s	0.0359389414	0.1287226708	0.464791398	0.2002620636	0.1702849746
o	0.02587785756	0.241015266	0.421690156	0.1658016886	0.1456150046
t	0.02053524898	0.0493323804	0.386746126	0.3523461532	0.1910400946
o	0.00905560918	0.0564440764	0.531933978	0.246471964	0.1560943196
t	0.01659744146	0.03830454366	0.2019650608	0.515146068	0.227986984
s	0.0057950702	0.02552698332	0.260746972	0.516383064	0.191547842
o	0.0063081748114	0.0273644182884	0.145717392	0.559811492	0.2607985916
m	0.01123179706	0.01750110132	0.0814573276	0.42911269	0.46069716
ì	0.005944279246	0.007740159894	0.114112076	0.550842928	0.321360394
</S>	0.01054016419	0.03076499254	0.1040837902	0.51973287	0.3348780552
