 	vestito	il	mio	fratello	lo	avevo	portato	fuori	con	me	</S>
n	0.771704574	0.0436629244	0.024740274268	0.0236469549224	0.0195259148318	0.0193782394769	0.0193312560053	0.019527044441	0.0192561131841	0.0193731361589	0.0198535947678
d	0.576802332	0.1510187828	0.038505556031	0.0231811076932	0.0258946513591	0.0273729706023	0.0265018268319	0.0268390312447	0.0329060138735	0.03407636507	0.0369013428189
ì	0.38705319	0.181094364	0.07290530004	0.0262482589546	0.0323414764644	0.0415953693626	0.0459858469673	0.0453871363217	0.0429491723186	0.0640791861223	0.0603607440654
s	0.1651894448	0.562363922	0.05913748078	0.021394120976	0.0226428720917	0.0278027058924	0.0303026177652	0.0302886214748	0.0268182077992	0.0275022734377	0.0265578275543
o	0.196132548	0.45475086	0.0785380102	0.05555661678	0.0419995030106	0.028369581515	0.0287323432729	0.028669899207	0.0275117090169	0.0317991968825	0.0279397452408
n	0.0967588586	0.381825402	0.3047554522	0.029328082812	0.0276365334065	0.0238616283371	0.0237219202562	0.0243812696092	0.0250603761942	0.0296086290906	0.0330618352454
t	0.066502497	0.352543627	0.27187195	0.06964914954	0.068913529878	0.0271993084255	0.023484130535	0.0232771360237	0.0267972165741	0.0291041305466	0.0406574262408
a	0.1126512896	0.245332833	0.28838103	0.05267893192	0.051572095772	0.0367288689691	0.0366206571988	0.0365143921893	0.0395110967413	0.0479551288871	0.0520538314058
o	0.0511602788	0.124080988	0.4889087108	0.0846701337	0.064001562974	0.0262132105173	0.0242293555945	0.026655075441	0.0282676179134	0.0342463706086	0.0475666151963
n	0.04268152718	0.0758871344	0.4711267272	0.1206712482	0.0961453722	0.0273857046764	0.0252190888106	0.0274642350813	0.0280313340743	0.0333370475862	0.0520503885554
a	0.04661211012	0.0704587814	0.24616124	0.2546607856	0.1321792352	0.0382485226	0.0389585351602	0.0367272928706	0.0392122459616	0.0389228957282	0.057858338804
d	0.04489866792	0.059084293	0.198665976	0.294470566	0.216256016	0.025868883968	0.0233181347163	0.0283284234182	0.0263830285061	0.0328833975593	0.0498426908862
e	0.043882220864	0.05339533616	0.140530176	0.2866065968	0.177404314	0.045610347	0.05288924526	0.048037206664	0.0483658322687	0.0435136978182	0.0597649107584
r	0.03693312983	0.05630906864	0.1373048396	0.3062782548	0.268519538	0.0289952964	0.0232076728132	0.0264153429664	0.0246236571701	0.0304079579447	0.0610052758631
f	0.03995961364	0.046970729106	0.1023183556	0.31818295	0.187142194	0.0465638016	0.0530561768	0.041665351634	0.0404862767141	0.0450388429988	0.0786156065062
ò	0.0426925648446	0.044083542858	0.1687708658	0.1290510886	0.248751818	0.0788667304	0.064562233352	0.0576689138406	0.0369432725335	0.0462034386793	0.0824056222483
m	0.033588048516	0.0426752069	0.0804363964	0.341883038	0.191056054	0.0831680714	0.05961858434	0.0541565435306	0.0200121219221	0.0283428403045	0.0650631619702
m	0.02625833232	0.03059741949	0.05878218694	0.193938392	0.312307266	0.1299451054	0.0707293048	0.04013598782	0.0345803966818	0.0329359380573	0.0697894862711
u	0.03895128028	0.03500299802	0.1746916988	0.1587526306	0.259642452	0.063301082	0.06847943004	0.058852530218	0.0411338176446	0.0481177070873	0.0530745555365
o	0.02552261098	0.02731448872	0.036664928	0.1738191758	0.281140064	0.202913512	0.0579042728	0.0683988574	0.0282529955991	0.0291512089088	0.0689179284049
n	0.022388687892	0.0309234992	0.0296071522	0.0939637802	0.200405753	0.3290351548	0.0942383872	0.06499420418	0.0247248735876	0.0289936336752	0.0807248126039
ì	0.0245998981824	0.0277321634628	0.033598225204	0.06150540044	0.129188576	0.3183683768	0.1569627126	0.0648957974	0.0507165895832	0.0362374455486	0.0961947883982
c	0.021263463138	0.02457872681	0.03398463379	0.0949117002	0.0919101266	0.3675444976	0.1593704922	0.06580791734	0.01550464065	0.0242823292012	0.100841649147
h	0.021014531384	0.023220545092	0.029717055702	0.06202725916	0.131709743	0.2480585876	0.218387798	0.0663873262	0.042904476125	0.0764292630038	0.0801433345756
a	0.0261470009038	0.028580754162	0.042393391746	0.0514292547	0.119075525	0.262896049	0.304019412	0.054906734474	0.033782162886	0.0292177260862	0.0475519192619
p	0.017247710146	0.018631098744	0.02000341626	0.0355948116	0.0402172322	0.210540736	0.3240763164	0.1307173504	0.04571777988	0.03735968678	0.119893870144
à	0.023479643431	0.035114956684	0.02098748016	0.03340466042	0.0390127284	0.1274935672	0.369996902	0.08286254284	0.0671887526	0.06674641084	0.133712328924
r	0.0140068068812	0.0149038696044	0.018622472032	0.0496353844	0.03372396888	0.1709369786	0.2894985712	0.241714706	0.03523598888	0.03047695728	0.101244401698
o	0.009859266494	0.0112698300978	0.01375241659	0.03434712728	0.0376244856	0.1441689716	0.3436190734	0.1648791126	0.0576659199	0.04822879522	0.13458501732
n	0.01544813533	0.015891244912	0.016855286656	0.0305549368	0.0240697404	0.074513356	0.2272916914	0.2171977408	0.134135512	0.0501378796	0.1939045383
t	0.020340986164	0.023846059772	0.019163704026	0.035142214604	0.02655022294	0.0956935512	0.2670738612	0.152967858	0.134690282	0.0632617574	0.16126912888
a	0.024120201346	0.0260395194	0.03951326286	0.031686889282	0.03887723348	0.057499527	0.251608942	0.182979904	0.1419444112	0.07345979236	0.1322705017
d	0.00721906733	0.007765775408	0.00793468018	0.01131942944	0.01057531656	0.0323402796	0.09528632952	0.2016483144	0.2689649698	0.08981601	0.2671298982
e	0.008998408104	0.010182630342	0.010311098054	0.01996543234	0.01770880716	0.05168182592	0.15666563266	0.184386078	0.2211498148	0.1417727618	0.177177339
