 	è	che	è	entrato	da	qui	</S>
è	0.763093704	0.06813764008	0.037589463028	0.0322429657	0.031276711138	0.0332821254532	0.0343773891588
n	0.458835884	0.283050611	0.06006935768	0.059024329864	0.0497403030895	0.0474582656513	0.0418213549612
a	0.184992854	0.409334612	0.194561278	0.08926207954	0.037592075852	0.0405505221602	0.04370654936
m	0.146702188	0.383867078	0.271946834	0.0740207802	0.0397108539767	0.0407370040215	0.043015332619
b	0.03983869712	0.195236222	0.1657969448	0.352631188	0.1092909374	0.04471259248	0.0924932569748
ì	0.04277763228	0.0988883794	0.18070019	0.437760848	0.06297727738	0.0677099707977	0.109185681509
k	0.1009934346	0.159681354	0.339210626	0.263963908	0.0521603842	0.0331853607958	0.0508048215073
e	0.0669918902	0.067133005	0.1589025908	0.4825890256	0.064364409	0.048785820908	0.111233252428
a	0.0701617212	0.104662023	0.1687548934	0.256333052	0.244583581	0.05852291054	0.0969819045292
p	0.01540264161	0.01713259674	0.030488013	0.17602514994	0.3335289454	0.3742210186	0.0532017202
ò	0.018104087734	0.054881606768	0.03584626886	0.1753577196	0.239984393	0.30842444	0.1674014888
t	0.0154964467816	0.019733224578	0.021853135076	0.07214362934	0.3027975296	0.456101556	0.111874662
t	0.0077691275588	0.01179816588	0.01422051768	0.05934310004	0.2828360824	0.521093204	0.1029399044
u	0.0098020410134	0.020103669525	0.0127099370452	0.12351313616	0.354777514	0.317392714	0.1617010672
</S>	0.00796035332118	0.00839641525964	0.0083535063404	0.01606764616	0.1289219432	0.521922926	0.30837723
