 	dei	genitori	</S>
à	0.785343048	0.08725274304	0.127404204284
t	0.787740514	0.11380164986	0.0984579035
t	0.731680556	0.1157474122	0.1525720306
u	0.633391034	0.127600995056	0.239007746313
s	0.306319684	0.4697195218	0.22396080206
g	0.22961109264	0.396478776	0.373910036
e	0.245409041	0.415976638174	0.33861448683
n	0.0645528494	0.601178004	0.33426918
i	0.061685746048	0.4453122	0.493002002
t	0.02710220028	0.571649888	0.4012478956
ò	0.085457761588	0.2711035112	0.643438684
r	0.0715601816	0.414439592	0.51400025
u	0.08979267302	0.3383799428	0.571827236
</S>	0.0511170252	0.2416702722	0.7072127
