 	non	so	cosa	scrive	</S>
e	0.803330556	0.060011718	0.044351504088	0.046923210872	0.0453830530458
n	0.560647268	0.2652045628	0.068797738038	0.0496522660898	0.0556981963669
e	0.1817893452	0.534158374	0.10106330626	0.0843526566532	0.0986363497864
t	0.204613016	0.481754744	0.1985545914	0.051987809266	0.06308987721
s	0.0963146988	0.350733184	0.344872502	0.10060716	0.1074722242
è	0.1646694888	0.45961648	0.146292751	0.088051298	0.14136995804
r	0.0833576028	0.468864928	0.2391687552	0.05551109092	0.15309757588
o	0.0551639566	0.305457866	0.372422016	0.0891073596	0.17784864228
t	0.059761396	0.17129122	0.468089154	0.1372599288	0.1635985152
i	0.02045919387	0.0643938665	0.437180862	0.26574458	0.2122214816
g	0.02722600324	0.03792967596	0.1620767164	0.407360154	0.365407532
r	0.01138188258	0.0342005969692	0.0909671586	0.669778132	0.193672217
à	0.004216694596	0.01327088566	0.075914136	0.600207961	0.3063903244
f	0.029224369583	0.030287017374	0.0741539214	0.457746106	0.408588684
i	0.01195639225	0.014201580712	0.06021956088	0.602037264	0.3115851308
</S>	0.01622412507	0.018401646552	0.0302086362	0.348777546	0.586388046
