 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.783566684	0.04712413914	0.03402171328	0.0328595333932	0.0327925099032	0.0330942468529	0.0365411718267
ì	0.467564032	0.29590545368	0.039264169112	0.0436897477122	0.0445368378476	0.0497219147249	0.0593178910162
s	0.422026862	0.375414118	0.03793508302	0.041358613154	0.0405332230569	0.0418796905121	0.0408524043351
i	0.343242138	0.394842416	0.09201060314	0.0452541142619	0.0397031853104	0.0434279582615	0.0415196793177
f	0.159865322	0.610040714	0.06101087478	0.0447146332102	0.0365690077777	0.0408839846246	0.0469155926625
a	0.147118071	0.468617292	0.1559524783	0.0757715866	0.04960078848	0.0404901892932	0.062449743584
m	0.104022587	0.53940645	0.1635497528	0.05458126172	0.037160629924	0.0422590659665	0.0590201422376
ì	0.1198874038	0.299297108	0.1154367584	0.1400075656	0.12542273456	0.074869039014	0.125079354756
g	0.0583118744	0.35430145	0.2672426382	0.174913744	0.0429423874	0.0390607514832	0.063227078711
l	0.0437965146	0.327589032	0.183426438	0.219639408	0.0500077512	0.04965697774	0.12588387282
i	0.2033362358	0.2671715772	0.1335509016	0.192785706	0.0564407758	0.0615144812822	0.0852003748629
a	0.04359488528	0.0455000132	0.309127744	0.31222096	0.1340148868	0.05011710594	0.105424554
e	0.01674527988	0.0296748744	0.1646831108	0.2973351136	0.235527694	0.1183179666	0.1377158842
n	0.022928788388	0.03323151282	0.05262930108	0.2588153944	0.2685612252	0.185017156	0.1788168808
è	0.02820205038	0.0316784631	0.03670247946	0.1526976528	0.334146874	0.223637074	0.1929354116
c	0.01228748422	0.062678078	0.02906016388	0.1623198868	0.364556224	0.2669690146	0.102129026
h	0.015028994312	0.03261402925	0.035301583494	0.13978306854	0.3238928254	0.324650826	0.1287287514
i	0.12252032504	0.0195034211	0.01977934238	0.103621984	0.361957868	0.125349455	0.2472675598
n	0.008385824505	0.0075158043176	0.01760353353	0.021833127806	0.12598096384	0.50330839	0.3153723394
a	0.015176544338	0.015318968106	0.014694977698	0.0258480155	0.2253709578	0.529847444	0.173743033
f	0.0091818662182	0.0079487935196	0.0156643603812	0.01199699234	0.04572726782	0.614291208	0.295189494
à	0.026391989984	0.010716118746	0.0068117818992	0.0181343305	0.0790609508	0.513277288	0.3456075
i	0.0099315457632	0.0343742807692	0.0584263447724	0.02445144206	0.0808325864	0.542186054	0.249797797
</S>	0.0094199801046	0.0175646887975	0.0167602412774	0.02018105244	0.0561385838	0.436539974	0.443395594
