 	questa	canzone	ee	l	ha	scritta	un	poeta	</S>
t	0.7175740152	0.049168497578	0.0368481591288	0.0330865641986	0.0322866803974	0.0317541567375	0.0320230157094	0.0345081346021	0.0327506475493
ù	0.6331811812	0.09811284618	0.0372306603791	0.0307367757433	0.0354821901419	0.0371250303215	0.0380264175413	0.0459481168244	0.0441569231947
t	0.648493078	0.1659359705	0.0287527275056	0.0242646128311	0.0262210675839	0.024967933593	0.0261272114425	0.0267144885157	0.0285228171886
t	0.5368604112	0.2271512696	0.032939345662	0.0268165724165	0.0359425384397	0.0288533698749	0.0297683256604	0.0370720824267	0.0445960538047
o	0.456191258	0.272166223032	0.0399449419563	0.0339768800427	0.0444260054389	0.0343961085522	0.0421406624879	0.0414052848395	0.0353527520032
t	0.528143156	0.1483925096	0.05846913782	0.040189095528	0.0502249916515	0.0375679741411	0.0390328600971	0.0474566949015	0.0505234413318
r	0.265017814	0.2674017392	0.0840960682	0.0405096090854	0.0584328102154	0.0477945708824	0.0481923600342	0.0684241609245	0.120130966881
a	0.4356438088	0.2366729916	0.0862327527	0.0414848452979	0.0449882745227	0.0305478520291	0.0310382464358	0.0370544857683	0.056336643603
v	0.1918730792	0.3974204588	0.1394425476	0.0539363236044	0.0478004716147	0.0340958476528	0.0335845545756	0.0402107920239	0.0616360778729
ù	0.0844968092	0.36383344	0.1415649431	0.11318434094	0.0602078185774	0.047726315453	0.0521444404282	0.064990336956	0.0718515566696
d	0.0907894038	0.4280865952	0.203693482	0.0953757741	0.03582309778	0.0259975417173	0.0245250871852	0.0236556611079	0.072053269693
i	0.0373607602	0.290071532	0.319126544	0.1095295611	0.048649243292	0.043480056655	0.028193735359	0.0482063130052	0.0753821849567
e	0.05473298818	0.107764014	0.329216018	0.3080704839	0.054235943586	0.0298975086621	0.0252018720064	0.0255807684703	0.0653004127291
e	0.035819422998	0.0412146932	0.2479563306	0.421426116	0.0678971236	0.0458372387174	0.04400738508	0.0244110648129	0.0714305307281
t	0.038652431954	0.03817087794	0.1330160612	0.4118562746	0.1312140984	0.076522781778	0.0704931212	0.0274991981696	0.0725753441448
o	0.02917284366	0.04544262036	0.0601578328	0.3443231948	0.160375609	0.1430333096	0.081959602712	0.05551687314	0.080018092101
n	0.033833697404	0.042358906	0.1089998306	0.275006969	0.1880261772	0.16029627008	0.0854649689956	0.0430721791877	0.0629411187
è	0.021247592368	0.02956756226	0.0559924858	0.21360634	0.21009668	0.1911913274	0.0916228749	0.072915557832	0.113759418067
g	0.021784249	0.0277196178	0.0449708794	0.1732818824	0.320016724	0.2347905872	0.06674965906	0.041918758601	0.068767703547
r	0.01578450267	0.02195650274	0.0374238067	0.1254813572	0.283887291	0.261640118	0.068583512584	0.05347560502	0.131767071452
a	0.02220300596	0.025808317	0.0372511328	0.0780670912	0.20658428	0.4034191008	0.05519830358	0.04755153874	0.123917374368
t	0.014342122746	0.01561784054	0.01647928334	0.036081772	0.1216881388	0.32308504	0.205034232	0.0971045848	0.170567183
s	0.008778913866	0.010336933248	0.011320647112	0.0481898104	0.1207983252	0.43626918	0.1580150296	0.0872652878	0.11902569112
e	0.0131914781	0.01551154462	0.0125667405	0.034431664	0.0765944362	0.3546400008	0.20430244122	0.09309057392	0.19567090796
è	0.0093871358	0.01078555054	0.0102528039	0.01507712136	0.0360326504	0.1013756958	0.263636324	0.318827944	0.234624699
n	0.00627237626	0.0099972917	0.007144995568	0.016239652	0.042982678	0.1074205694	0.349634344	0.34790315	0.11240496416
a	0.01147888278	0.01456883728	0.014746229696	0.02290032528	0.0425934218	0.148507015	0.3735519	0.248141612	0.12351176934
p	0.00936604122	0.008878186412	0.00916930466	0.01157344696	0.01484999286	0.0337737926	0.155956839	0.57366122	0.1827712786
o	0.01447949984	0.01333238718	0.009987216306	0.024447962068	0.02900005316	0.133371488	0.1655155224	0.463575794	0.1462900648
è	0.0058642984908	0.005852528156	0.0057895477012	0.0087121664688	0.01088150902	0.0288173721	0.1025411066	0.615862756	0.21567873
t	0.005634868438	0.008659589226	0.005459657314	0.009663187932	0.012991764412	0.0298476882	0.0984721302	0.691532812	0.1377382612
a	0.005518755092	0.00765754382	0.007258010704	0.008784478476	0.0132740652	0.0340801048	0.097952986	0.655752332	0.169721752
</S>	0.007068402824	0.006219916773	0.00624383439	0.006985553086	0.007653555584	0.01421446744	0.0434715056	0.546410894	0.361731778
