 	io	non	so	cosa	è	da	scrivere	</S>
e	0.657331232	0.1617146948	0.035018420725	0.030057006164	0.0283255184775	0.0282300461332	0.0288202859935	0.0305027965861
v	0.631821316	0.10297046938	0.0401919120552	0.0331872251374	0.0373592335912	0.0548255377842	0.0518869745228	0.0477574786585
ò	0.4523394452	0.0750071806	0.1343371162	0.05787518466	0.058947100546	0.062176075282	0.0589351981755	0.100382645552
e	0.286706096	0.472750768	0.073162028554	0.03265312387	0.0317709593919	0.033593231953	0.0305156011044	0.0388481759352
n	0.1351638292	0.48528143	0.1772803432	0.03774271842	0.035400656632	0.055727883887	0.0384864178076	0.0349167014732
e	0.0897184056	0.2382713522	0.369301488	0.1029841572	0.04278768112	0.043843443408	0.0440234267915	0.0690702184832
s	0.0653323644	0.177782291	0.485797724	0.10818284694	0.03866272558	0.039318288092	0.0441602561026	0.0407635162927
s	0.0531512682	0.0788589316	0.30670924	0.2783010668	0.0506021202	0.0793875608	0.0507224998	0.10226731823
è	0.1338348952	0.08463622344	0.279224564	0.2296572112	0.0531603579	0.05220167668	0.04844069254	0.118844401294
r	0.04541593684	0.083601868	0.385025238	0.2019895506	0.0798378176	0.04920981292	0.030406581326	0.124513199981
o	0.03563042124	0.0697740698	0.2406335	0.373633849	0.113747298	0.0434489356	0.03172562732	0.091406359984
t	0.03510000288	0.0441817458	0.141130474	0.33687963	0.2578617008	0.0798458136	0.041283352168	0.0637171718742
i	0.027810633764	0.033195916446	0.10377758636	0.2923810864	0.248591138	0.1135316414	0.0410016512	0.13971046396
e	0.02135010078	0.02684822808	0.0510291464	0.1470135952	0.286200537	0.237288484	0.099191544	0.13107852414
n	0.0132241911028	0.014917303322	0.022584171	0.055810195	0.218934555	0.383160062	0.1468437406	0.1445257978
a	0.01494411694	0.02077932936	0.03696234972	0.0649981852	0.1652662814	0.40625633	0.143180295	0.147613038
g	0.011968168712	0.015029606824	0.01620095274	0.0251811828	0.1278970874	0.364413183	0.24279544	0.1965146588
r	0.01310734688	0.014023905974	0.026679314946	0.04144125738	0.0803994718	0.256779948	0.239655146	0.3279136336
à	0.024806362656	0.0068914197352	0.009210204534	0.0163305182	0.0594031644	0.199865085	0.415367841	0.2681254578
s	0.010423159492	0.024065980528	0.013860444034	0.02311193127	0.0700544048	0.2468657752	0.395823958	0.2157942854
s	0.00630744646	0.007238738744	0.00985718618	0.018999241224	0.07282586464	0.2429979528	0.3381674148	0.3036063092
o	0.021737862278	0.010224060148	0.004973415572	0.01342052908	0.0345668287	0.147219645	0.459432778	0.3084249712
</S>	0.0101079724616	0.009925112204	0.007451685808	0.00947082137	0.01469870634	0.0872892326	0.404342198	0.456714198
