 	non	mangiare	la	sera	</S>
m	0.799170028	0.059444322786	0.046419209886	0.048615923994	0.0463504335181
i	0.44605126	0.16630704132	0.09850822998	0.105016037054	0.184117246731
f	0.19451993	0.48958868	0.0766489063	0.0804100850556	0.158832189308
a	0.0695003322	0.552104534	0.2044305088	0.06952904588	0.104435784185
i	0.1233655974	0.2977640554	0.3258301326	0.0571105034	0.195929639688
o	0.0356164014	0.1208807632	0.607057842	0.1355849396	0.100860078
v	0.03655276938	0.0694401448	0.461058398	0.214110816	0.2188379376
r	0.01852807946	0.0410632814	0.300299672	0.531543714	0.1085652414
à	0.01154109814	0.03037398876	0.2687198374	0.46721393	0.2221509942
i	0.046067105772	0.06454042662	0.1889565602	0.354321081	0.3461149216
</S>	0.020619713028	0.01751872116	0.0765822826	0.510774108	0.374505246
