 	che	non	li	aspetiamo	</S>
n	0.805677608	0.0627636264	0.043204176148	0.044824914092	0.0435296523501
a	0.708415852	0.10639413385	0.063982625271	0.0555640770414	0.0656434975405
m	0.344571222	0.448234906	0.088471819888	0.0645921461168	0.0541298742544
i	0.21987176	0.141105643	0.406402782	0.076005262	0.156614498
t	0.143172459	0.2759052306	0.479685008	0.0489107395	0.05232668894
u	0.1062814056	0.1062312134	0.459606342	0.0768318224	0.2510491452
s	0.1124830718	0.141229804	0.580172186	0.1027440598	0.0633708604
m	0.0601802434	0.0594043058	0.269184814	0.230004177	0.38122637
ì	0.0269570538	0.0506235774	0.2896700972	0.1431727426	0.4895764052
n	0.12194787232	0.07128391752	0.365426338	0.1082939176	0.333048018
o	0.0943655036	0.14022331	0.384436446	0.1513655952	0.229609102
m	0.023302074	0.0501918806	0.089069931	0.552419952	0.2850161012
e	0.0627577770364	0.034772078058	0.19894648686	0.389214496	0.3143091912
</S>	0.013852002294	0.023869568814	0.04377594546	0.454419888	0.464082512
