 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
t	0.6801087	0.1268609838	0.0251881706	0.021709461466	0.0208490895197	0.0208308787452	0.0207286851857	0.0208246611893	0.0209349104125	0.0208096663409	0.0211548041632
a	0.624761318	0.1239341494	0.03341721466	0.025529731266	0.0234010073219	0.023605925902	0.0245615504467	0.0291923033156	0.0278267478645	0.0344250838441	0.0293450958824
p	0.261751444	0.462686402	0.033441773428	0.021964047108	0.0217897036556	0.0205587252108	0.0210802891306	0.0238327401563	0.0222751290289	0.0436303001336	0.0669895025747
e	0.263576198	0.295803912	0.05080661456	0.0966179066	0.0359787965484	0.033959489154	0.0332664808033	0.034947169882	0.0353073572683	0.0563301049776	0.0634056439906
t	0.184395568	0.447821366	0.083289055	0.0357886534	0.0295137820744	0.0265741391771	0.0284207245935	0.0305983139383	0.0289787143111	0.0470096694625	0.0576100857608
ì	0.1745215062	0.3182231072	0.0602234204	0.1051662558	0.0383206898	0.0361989427	0.0396158280112	0.0391562032661	0.0386856871746	0.0611496377244	0.0887387797064
a	0.0857138968	0.359090168	0.245993318	0.0773751266	0.0266012463554	0.0240437411647	0.0458734782952	0.0358558129923	0.0259778627685	0.027514634281	0.045960855802
e	0.0641026426	0.180613137	0.38777008	0.122740778	0.0294350827872	0.0250266954792	0.0374140324505	0.0303273712291	0.0327082224974	0.0362587200477	0.0536031456106
s	0.07943440044	0.13732983026	0.2316244	0.2750822288	0.03513427186	0.02868220586	0.0346666531114	0.0321353266018	0.040471198518	0.0520896274104	0.0533497664386
ò	0.0618861322	0.08546539912	0.0771230488	0.3362258992	0.1217375408	0.052515928	0.04727073624	0.0404165199394	0.0365282278292	0.0532709007447	0.0875598469642
z	0.0425625076	0.08327379168	0.1741659956	0.4028232848	0.0375513058	0.027525873846	0.0561376219373	0.0487822992514	0.0325590437276	0.034377115955	0.060241221829
u	0.056382314956	0.05349701612	0.1339808612	0.349107495	0.1340633716	0.0656764905	0.042450561226	0.0425477514513	0.0345241219549	0.0365671067131	0.0512029911933
n	0.06241806262	0.06939678456	0.1952106384	0.150504551	0.2400884168	0.05205523618	0.033929256446	0.0300361279353	0.0239096758534	0.0288097570288	0.113641426947
e	0.037314180827	0.044202764782	0.0794599656	0.1551902416	0.326816974	0.140988762	0.0394445004	0.0309411317584	0.0365586014995	0.0483775053039	0.0607051389085
f	0.031141578288	0.033145487577	0.0691586906	0.0672218651	0.339181555	0.1649959786	0.0327729992	0.022862612444	0.0207637061488	0.0613983112457	0.157357101018
à	0.0300948123204	0.027956093512	0.02229320608	0.0797705414	0.2436222192	0.2424490168	0.0969378846	0.048670502746	0.078625724378	0.0682342141084	0.0613459594299
i	0.0166364417	0.021829668852	0.05486879368	0.05461010602	0.21594824454	0.2971270016	0.0583863486	0.039159241164	0.0253965423018	0.0207237517771	0.195313884636
t	0.01241128285	0.014204979673	0.0227728853	0.034528000968	0.223632837	0.39208657472	0.0365667692	0.01757244538	0.025775110044	0.092214100925	0.12823511521
o	0.0122168632609	0.013991208592	0.009396254288	0.029945251792	0.127610574	0.3801510268	0.1554059616	0.06793846126	0.07579472268	0.0513073009818	0.0762422765068
g	0.0302135466	0.033455894808	0.039039817798	0.041001702192	0.10641587382	0.27895107628	0.0959646773	0.0156299094	0.03792187126	0.160962341518	0.160443278534
e	0.010259125012	0.01779978476	0.016792626228	0.04070311392	0.08151310594	0.1582951732	0.2070502086	0.0605790243	0.087572886	0.10510180165	0.21433310893
l	0.024586202638	0.0456905058406	0.0318375853116	0.06213472895	0.0676776138036	0.169791194734	0.135214835274	0.01596436988	0.0580811658	0.237590133492	0.1514317331
à	0.008992625062	0.009713601348	0.0092785414274	0.022915829974	0.035226472292	0.1408814189	0.3013453532	0.1034112232	0.1054493207	0.14655053628	0.11623500386
t	0.017057805228	0.018836958948	0.03719932448	0.02478376734	0.06768694808	0.2066852974	0.1618658696	0.037715211	0.163285391	0.141791215	0.12309221388
o	0.007743410088	0.00811875118	0.007031649712	0.01528081634	0.03618843194	0.13501690234	0.3157212065	0.1509404984	0.072708325	0.17661373306	0.07463612834
p	0.0171611242356	0.017373211932	0.02015965598	0.017873959408	0.041090506048	0.05412901866	0.119454061268	0.07906694216	0.224065786	0.2033057172	0.2063199132
r	0.0064449686956	0.00924996569	0.0053817121108	0.014126056594	0.022402831448	0.060155024834	0.09469597012	0.2055091279	0.13273015708	0.265019158	0.1842851362
ì	0.003273606718	0.01073769595	0.004370529726	0.01548507676	0.01928101286	0.05478422968	0.1652177288	0.1045336173	0.192529928	0.18354552128	0.2462410066
m	0.017040758542	0.02693990203	0.023385661696	0.03122667232	0.03892958184	0.03913553736	0.06030481438	0.0752671028	0.171198388	0.3185420524	0.19802955
a	0.0066354844286	0.008082751394	0.0083740487468	0.071528114998	0.0235339136174	0.0375597311	0.082458919908	0.11980292912	0.252525997	0.2254380446	0.1640600152
