 	hai	già	mangiato	</S>
è	0.768139946	0.06445435248	0.063371482634	0.10403422847
c	0.723392632	0.1110014026	0.0874538985768	0.0781519710588
h	0.403096388	0.363464754	0.1119211108	0.121517709306
i	0.441688836	0.289348102	0.159778068996	0.109184987626
g	0.0979162298	0.539144798	0.2120587464	0.15088018184
i	0.197092216	0.452308986	0.1634392296	0.1871596918
à	0.056218521	0.329502196	0.464418052	0.1498611942
f	0.0165581052	0.091104608	0.750111374	0.142225941
a	0.0497309621	0.1047282332	0.648888654	0.1966523188
m	0.04142476606	0.05180902834	0.50440009	0.402366116
è	0.10819524146	0.1306394946	0.440139056	0.321026172
n	0.04426245288	0.0550476954	0.59397039	0.306719428
a	0.021695498528	0.0665094096	0.615166776	0.296628346
</S>	0.03120588872	0.0481558198	0.23593596	0.68470241
