 	è	che	sono	usciti	</S>
è	0.738618636	0.0720911744	0.078653064386	0.050840547482	0.0597964979554
n	0.576933088	0.1982729668	0.075152934102	0.067843314104	0.0817976506372
a	0.2616127534	0.412568414	0.1415098758	0.06785080968	0.11645812934
g	0.1098917994	0.46219232	0.113049068	0.2344709682	0.08039573304
u	0.03501810092	0.420234958	0.343932826	0.07779818868	0.12301583886
ì	0.0222905856	0.0694577284	0.3576569354	0.3262248	0.2243700054
k	0.0261156313	0.0526950216	0.367980942	0.319476295	0.23373215546
a	0.0462092862	0.2153086136	0.294273308	0.195196926	0.24901182354
n	0.0435247026136	0.03460776852	0.1668535416	0.454464298	0.300549766
e	0.0054115739	0.02055594161	0.2005146434	0.366463282	0.4070547046
</S>	0.028734998609	0.03917189546	0.1154384848	0.21405598	0.602598586
