 	la	casa	la	costruisce	il	mastro	</S>
o	0.76606091	0.07978844092	0.03161294692	0.0307176838892	0.0302988788434	0.0303750922973	0.0311461624144
s	0.482056698	0.330332218	0.038350983794	0.0341723936246	0.0345079712688	0.0403117160019	0.0402681562495
p	0.24183465	0.522690476	0.05493553886	0.03767533904	0.036487852406	0.0405355278519	0.0658407100724
ì	0.363880728	0.3276706352	0.07704537916	0.03716734294	0.0489578399244	0.0399952079094	0.105282841986
t	0.135858714	0.65006233	0.0679067102	0.03039419022	0.0331255456153	0.0297181344538	0.0529343589694
i	0.128049483	0.591078072	0.11542052948	0.05277418816	0.0313319969981	0.0370747592213	0.0442709405101
o	0.0926548452	0.319328148	0.373050958	0.06883702796	0.03659676321	0.0395610878178	0.0699711709164
f	0.03788005348	0.0838120524	0.474054359	0.2605960192	0.055901006368	0.0282258213163	0.0595304761029
a	0.05253152992	0.1128328002	0.476814313	0.2048696894	0.06774412274	0.0316871144639	0.053520286856
b	0.0349949956	0.0566333948	0.411953321	0.305069648	0.07980767426	0.0343371171605	0.0772037508601
b	0.023949614088	0.076848721	0.352159816	0.258624738	0.1243915948	0.03679120426	0.1272342582
r	0.1517381476	0.1434359182	0.2126601528	0.1052247544	0.127116910278	0.0788134719163	0.181010490738
i	0.0619330232	0.2151599958	0.225704129	0.2290364666	0.0798650844	0.0353029348709	0.15299839198
k	0.0350424466	0.0487809066	0.302535822	0.394250056	0.095266638	0.0395995666474	0.0845246130028
è	0.15394321656	0.05094970408	0.134735722	0.2551268554	0.12904649	0.0386687267	0.23752919404
i	0.0157270378	0.0248411644	0.159327336	0.2935669536	0.287323114	0.0225187486	0.19669564064
o	0.0125412108	0.01643430544	0.062667502	0.168641146	0.497157142	0.0652865898	0.1772720428
m	0.013093105728	0.018496749688	0.04136542476	0.1027793124	0.3539534116	0.27926641326	0.1910457186
à	0.027246869548	0.04786623576	0.06628483804	0.0890040614	0.35971598	0.1957512492	0.214130594
s	0.01162156222	0.01473051176	0.063928572	0.1101817516	0.353975652	0.216788468	0.2287734
c	0.008625007302	0.0108920063	0.02360408814	0.076458166	0.263697076	0.415479484	0.2012441806
i	0.094325743048	0.01939125264	0.02696992102	0.05146722364	0.2198599458	0.271847112	0.316138586
a	0.00862441754	0.008945596624	0.021941581892	0.0319529394	0.1138315636	0.389058046	0.425645816
</S>	0.009884131074	0.010533949612	0.02757926662	0.0296517309	0.09872534524	0.426992126	0.396633342
