 	ancora	non	mi	sono	vestito	</S>
a	0.673477812	0.1364334446	0.05927437072	0.0430511383448	0.0469252551548	0.0408380160547
n	0.763018196	0.05776110016	0.0414754342127	0.0402816800033	0.0465715934105	0.0508919802682
k	0.453228826	0.2884931364	0.0602198554	0.0516698535	0.0560758761322	0.0903125099608
ò	0.444093962	0.1045769916	0.19144145544	0.0901555876	0.06745630472	0.102275819749
r	0.347513604	0.321904788	0.11115565446	0.10986553652	0.045459611652	0.0641009075012
a	0.385382856	0.253955064	0.1442348814	0.0872433796	0.04857872033	0.080605271952
e	0.093257889	0.2621181	0.430410936	0.0853974712	0.042623701046	0.086191947806
n	0.07893053088	0.130709313	0.297398288	0.28749392	0.0586603318	0.1468076204
e	0.0758505716	0.1138119192	0.270096108	0.219739282	0.140010948	0.1804911446
n	0.07426348948	0.0571560958	0.1420419624	0.328081018	0.225070294	0.1733873004
d	0.03825205686	0.0462251838	0.176222232	0.252012894	0.2858815854	0.201405976
ì	0.08515331142	0.0369115304	0.129072106	0.2099131884	0.306771298	0.2321783908
s	0.02394367466	0.01160349756	0.0362744752	0.336376356	0.339717118	0.2520849389
i	0.015200640972	0.0136781748	0.065801212	0.348889522	0.348269314	0.2081612354
m	0.013988118236	0.01804193496	0.050794275	0.0709175352	0.487574654	0.3586834072
o	0.00910935678	0.00679211629	0.02452660459	0.0746829018	0.53429108	0.3505980172
</S>	0.0133915037048	0.014046447664	0.01860729814	0.0437102102	0.483290492	0.426954086
