 	prima	di	andare	alla	scuola	</S>
p	0.71945903	0.0833116799	0.047957663588	0.04662327696	0.050848147553	0.0518002879645
r	0.567363212	0.1159417818	0.06832699039	0.074577981847	0.0779499327871	0.0958401802986
ì	0.446710928	0.3311430712	0.05079896134	0.044931655142	0.0538631153175	0.0725522182543
m	0.320934418	0.51051832	0.0504343333	0.038912432694	0.0381470756326	0.0410535461135
a	0.2456272192	0.409066948	0.111219465	0.05135449914	0.049889592648	0.132842194282
n	0.1544630814	0.486351626	0.2295233032	0.0415190861	0.040304898301	0.0478379467321
a	0.09193434426	0.333820361	0.397013444	0.0706570336	0.043803305784	0.0627716151884
p	0.061806409	0.216409225	0.473500406	0.13825798	0.04312985816	0.06689615228
à	0.06276094676	0.204401963	0.409885358	0.141268346	0.089240568	0.09244299862
i	0.0587572848	0.1288899608	0.41752576	0.2376544892	0.0368361717	0.1203363614
s	0.023360100128	0.04514087348	0.3525766628	0.363818666	0.0443347698	0.17076901394
t	0.02724011438	0.0421235103	0.3164022268	0.310782346	0.1310344762	0.1724174216
i	0.05284125592	0.0411619912	0.2445165304	0.363785158	0.124203689	0.1734914042
s	0.0187034441	0.021257904	0.1540459756	0.2340783406	0.308602602	0.26331176
k	0.0078353322	0.0081328731	0.114676861	0.311973038	0.381501336	0.1758805256
ò	0.012143519596	0.01577238468	0.1242644826	0.337641484	0.2572618288	0.252916272
l	0.0219166418	0.0150916548	0.0568618284	0.211225512	0.383419616	0.311484752
a	0.02427292148	0.0148233338	0.0757455252	0.236720337	0.3720317512	0.2764062412
</S>	0.010174131492	0.01086909556	0.026035561	0.1834759951	0.290685632	0.4787594892
