 	sembra	che	il	ladro	è	entrato	da	qui	</S>
i	0.764263532	0.03684090392	0.030013355064	0.030439618262	0.0274277361331	0.027418707746	0.0273474047058	0.0279914401462	0.0282573032916
f	0.69732699	0.076438820886	0.0332886294557	0.029787771161	0.0283062029613	0.0298795394949	0.0319353066574	0.0385668706961	0.0344698600007
è	0.36715961	0.285175948	0.0744524416	0.03500235418	0.0362100650611	0.04009613758	0.0386825060107	0.0590883863436	0.0641323274888
n	0.506895358	0.256253416	0.0529079335446	0.0285363340351	0.0288181593314	0.0305774020698	0.0314766581446	0.0319789330951	0.0325557963543
e	0.353341111	0.333762164	0.07268046148	0.0438714949676	0.0383898384533	0.0350746574553	0.0353307760185	0.0371510576865	0.0503983556117
t	0.12164411	0.5109916	0.16458806286	0.0347595390812	0.0333808960945	0.0311624174606	0.0317850104312	0.0370731983282	0.0346150753906
e	0.070686591	0.461728248	0.16251128	0.0542226674	0.03805558858	0.03864534046	0.044028720716	0.0395908568993	0.0905308235132
k	0.082801298	0.3584844	0.299651312	0.05066402834	0.0388407122052	0.039609679676	0.0342706761099	0.0386240914241	0.0570538477919
a	0.05263292678	0.25038461	0.221352234	0.176025269	0.0562653526	0.0548587526	0.06723513997	0.0556404260968	0.0656054739794
o	0.05638538252	0.15898248	0.39979945	0.144898528	0.05039963254	0.04101257796	0.0382487986184	0.0380377196024	0.072235344447
l	0.045824815186	0.1055896615	0.30763595	0.2266240554	0.06898232232	0.0430343129	0.0757122195602	0.0583078229504	0.068288874037
à	0.030585724041	0.05159204	0.1424793	0.402977818	0.105838264	0.0693956998	0.096263382286	0.050551220218	0.0503165121903
d	0.03148143588	0.0641391454	0.1920147742	0.328848534	0.1543569354	0.051429991	0.03862498316	0.032599128138	0.106505228668
r	0.014735775928	0.035962511168	0.1309476556	0.2119357734	0.1307033328	0.18263727	0.10926819328	0.0649847216854	0.118824756529
o	0.03604926304	0.0518775168	0.1240943994	0.242984914	0.2146769628	0.178184214	0.0418681549452	0.03729393359	0.0729706208672
m	0.024632982912	0.02817687178	0.04511144726	0.2155064996	0.3390889984	0.1370382752	0.04974915592	0.054850677528	0.105845292303
b	0.01044581388	0.016987883574	0.03350259028	0.1623540528	0.147668754	0.3003622588	0.11238431358	0.09836767874	0.117926787946
ì	0.008385360856	0.0116475145	0.0353731082	0.1664467266	0.1374871484	0.2366892466	0.068022927138	0.108948096426	0.22699980725
k	0.01745875472	0.0212767658	0.0304932794	0.1269382246	0.175599886	0.1781337714	0.1956535348	0.07895983084	0.1754857745
e	0.00952848909	0.014950937524	0.0211150673	0.08357472328	0.11617438812	0.3769788094	0.0975826302	0.10077106384	0.179323769668
a	0.01460062318	0.015280986188	0.0171241135	0.04288280536	0.06246382096	0.12414071546	0.358423612	0.1779380382	0.1871452842
p	0.007762062902	0.007911466734	0.00862587599	0.01767042066	0.045067513404	0.06389806204	0.3034411124	0.410022322	0.1356011648
ò	0.004202996044	0.0219561817668	0.019501294278	0.04288799932	0.03276206176	0.12707937884	0.1626428506	0.481124332	0.107843045
t	0.0054856959368	0.0061393884316	0.006993515474	0.01274363005	0.013162524584	0.02575281456	0.1980351246	0.620231576	0.11145574
t	0.0056611599	0.009490014189	0.0101465900108	0.015917152612	0.018971980888	0.05179916994	0.1746623034	0.596512684	0.1168390066
u	0.0051449026794	0.021850541984	0.015941691718	0.03782365326	0.025466510612	0.0756389954	0.274815635	0.378571284	0.1647465766
</S>	0.0067971072414	0.0063953259536	0.0065333970448	0.0079440513112	0.0078571856332	0.0169348496	0.153261818	0.487603224	0.306673188
