 	quest	anno	che	viene	mangio	quanti	voglio	</S>
f	0.765956408	0.05912173672	0.0306641314952	0.0304484627337	0.0276510551965	0.0282673485971	0.0286697783107	0.0292210239356
è	0.63583888	0.08979823546	0.0441938657776	0.0421639362728	0.0364755063778	0.039829018321	0.0545192451155	0.0571812291028
o	0.599230075	0.2027294422	0.037246629186	0.0302477035695	0.0282019921858	0.0328065959288	0.0331755678705	0.0363619086833
p	0.298901832	0.44502922	0.07239507856	0.0312261542226	0.0362184377962	0.0391960304657	0.0389716856724	0.0380616226532
p	0.0811836582	0.503044122	0.1475993232	0.06692630922	0.037037138641	0.0441050490403	0.0484442074461	0.0716602274991
ò	0.0896269992	0.479530696	0.11521967248	0.0702399450195	0.0368489684488	0.056928890312	0.0681951218247	0.0834097083151
r	0.1965698634	0.20933835	0.377475789	0.06085847914	0.025407139336	0.0284785212256	0.0268584688331	0.0750133794259
k	0.0631326128	0.32818442	0.32176383	0.1066126216	0.02873087652	0.01951618646	0.0471213078937	0.0849381781702
e	0.110161734	0.2967476	0.2428467498	0.134377493135	0.042028267841	0.0454908788372	0.0545786860785	0.0737684126266
t	0.0561200761	0.10097186524	0.384411544	0.2809954357	0.048854157514	0.030118348436	0.0277258480284	0.0708027530808
e	0.0312279328	0.062263026	0.331568956	0.2909649198	0.08852398356	0.03785438434	0.055652087708	0.101944653568
e	0.0458951378	0.0677011716	0.2427630884	0.2800804378	0.117150492	0.0438861972	0.0372757865774	0.16524757334
t	0.024857372992	0.02805646546	0.1005338986	0.3391290364	0.2550705552	0.1345535294	0.04775474903	0.070044601338
r	0.011597393564	0.02189982944	0.049027441	0.182267585	0.4054055088	0.1908446779	0.04009941944	0.0988580827764
ò	0.0174242376	0.05486059628	0.0803184196	0.1769486802	0.2375372712	0.166946245	0.07742885582	0.188535647392
o	0.01884177924	0.0247441674	0.0552148962	0.1729705544	0.3422440616	0.1924212008	0.0625168717	0.13104644744
p	0.011641807312	0.01211158794	0.0289645659	0.09564479204	0.314413726	0.303625488	0.124140186	0.10945780622
ò	0.01534005552	0.01949487726	0.02645624454	0.0664075989	0.1989338456	0.2875326826	0.156539756	0.2292950536
s	0.0091784193	0.01288056422	0.0219744255	0.0464743161	0.240154372	0.421354936	0.1337582068	0.1142247086
s	0.00827334606	0.01127042626	0.019890197352	0.0599694784	0.185123482	0.419656608	0.1496401786	0.14617622
a	0.02007405226	0.045850365388	0.02923971568	0.0340521236	0.1631680912	0.293641798	0.2099825252	0.20399129674
t	0.005612293079	0.006587939576	0.00789204784	0.011586234074	0.0320315762	0.1507794948	0.5342566	0.251253838
è	0.005129049166	0.007218172868	0.009734487372	0.01870791526	0.0527904204	0.166832996	0.506484028	0.2331031
l	0.00475374432	0.005251921524	0.006714541502	0.00825634036	0.022144856	0.0829779142	0.69309172	0.1768089788
o	0.0051083565376	0.0060346267694	0.008481993788	0.01862817856	0.0377032336	0.18772105	0.533135916	0.203186668
</S>	0.0095239459206	0.009956271372	0.00788874847	0.00871811606	0.01279241692	0.0652193208	0.475967434	0.409933726
