 	non	ho	cosa	a	fare	</S>
e	0.797201936	0.05115871776	0.037910599726	0.03594885362	0.040182164066	0.0375976740206
n	0.613737058	0.1466531446	0.06281600472	0.0931558789728	0.0392468637593	0.0443910877963
è	0.1378631776	0.46551796	0.1224919731	0.07573939121	0.0832434112255	0.115144103517
c	0.2124615965	0.442296138	0.176434678	0.0626715904	0.0480862979346	0.058049594542
h	0.06411712266	0.269614024	0.27355253	0.1899954062	0.11197843278	0.09074252534
o	0.0677047288	0.192247798	0.452885502	0.1373478576	0.083467711	0.06634649942
t	0.0307503894	0.088325339	0.4237056112	0.276397965	0.05396254252	0.12685813476
i	0.014430799814	0.17198727694	0.164386782	0.35260238	0.1344110638	0.1621817868
k	0.0211009883	0.0295065577	0.1042719944	0.456918968	0.19848445028	0.1897170904
à	0.0100229229094	0.013758044764	0.0503701402	0.2184137732	0.533500068	0.1739351544
i	0.017266983038	0.018171811	0.036825455	0.170388399	0.478992008	0.2783554456
</S>	0.014703936133	0.010583439566	0.016944237576	0.09396024084	0.503986953	0.359820982
