 	possono	essere	ancora	svegli	</S>
i	0.773493988	0.062710570788	0.0534795205206	0.0572027650808	0.0531131500946
s	0.762856712	0.0717176171	0.059104333821	0.0485593920022	0.0577619463828
ò	0.617876326	0.2122078952	0.04803927608	0.0521892201394	0.0696872684073
z	0.565817934	0.2746770144	0.0363871467731	0.0334181962105	0.0896996959088
o	0.452255142	0.3287813348	0.069206639452	0.0511748246784	0.0985821186074
n	0.24562656	0.549534748	0.0678027334085	0.0516753377083	0.0853606314392
e	0.10987939	0.59966159	0.07643053516	0.05906319828	0.15496522237
ì	0.0804406449	0.572184736	0.178486862	0.04880661536	0.12008130612
n	0.0515403284	0.521443566	0.2468989576	0.05854441352	0.121572652
e	0.1025155992	0.52061436	0.1313770721	0.056930290592	0.188562732812
a	0.05695229886	0.151834326	0.565932684	0.0809206566	0.14435996664
n	0.03045929538	0.0730004798	0.636287508	0.13047475454	0.1297779951
k	0.0517583584	0.1583663042	0.486129876	0.11595515894	0.1877904074
ò	0.157809171	0.1338287532	0.2217974058	0.08767960492	0.39888507
r	0.0317115338	0.1644883248	0.299813564	0.227098414	0.276888242
a	0.051593691	0.137579571	0.42316862	0.148630036	0.2390281222
a	0.05787552436	0.0824198684	0.330947508	0.199988664	0.3287684642
t	0.02669977508	0.0463120326	0.1257015786	0.479237846	0.3220487524
s	0.0260855688	0.0440949226	0.1756121112	0.323338822	0.4308683992
ù	0.1010279983	0.0191828578	0.081357938126	0.25085197656	0.547579266
n	0.0243635304	0.0345451182	0.089484878	0.504463636	0.347142792
n	0.01203050912	0.03019357156	0.1294396488	0.512112506	0.316223744
i	0.074103448606	0.0897280208	0.0812158112	0.2727632516	0.48218942
t	0.042125700232	0.0841195202	0.04564163402	0.471895272	0.356218042
i	0.0639492497	0.09626896224	0.0455130396	0.3481122962	0.44615645
</S>	0.017442740214	0.02896401854	0.03614703906	0.300567701	0.616878436
