 	tu	quante	bottiglie	hai	rotto	dieci	</S>
e	0.764734118	0.0705833399	0.0333186696	0.03142946295	0.032447521678	0.0340066749303	0.0334801688419
s	0.36791756	0.440486788	0.043659012608	0.0359403395492	0.0350749207052	0.0371731127632	0.0397484003044
ù	0.214230559	0.501255168	0.0714948486	0.05198358452	0.042570529712	0.050301240844	0.0681640338259
p	0.1993759252	0.536889286	0.1076479756	0.0505240456442	0.0308734228848	0.0324278125207	0.0422615341591
ò	0.093144816	0.34896591	0.2454661492	0.132117699512	0.0432310828902	0.0410936807726	0.0959807591718
s	0.1446815736	0.368484436	0.301417536	0.0860218922	0.0312272185216	0.0307439594238	0.0374233923503
e	0.05482779432	0.2387415668	0.411375508	0.1275398918	0.038112063276	0.0538292170372	0.0755740595889
b	0.0908051901	0.1523365582	0.455907298	0.1556244742	0.068518086818	0.0349469213466	0.0418614403914
o	0.039522531134	0.0726837276	0.285046134	0.406889346	0.07974017294	0.0465918383671	0.069526381946
t	0.0572367448	0.0781583386	0.290174002	0.299629084	0.14045825872	0.0737093379577	0.0606342166978
t	0.027525274462	0.038524413898	0.21534739714	0.304530822	0.2051689	0.06284647508	0.14605671038
ì	0.027985862792	0.0944298644	0.1914483826	0.3058350132	0.119076266394	0.096717565836	0.164507072608
g	0.03478292676	0.048447257	0.124242556	0.403596263	0.176992632	0.070817759272	0.141120672794
l	0.028142240324	0.03336317484	0.0895620303	0.311996752	0.17339037	0.1302566662	0.23328889108
i	0.04015943434	0.0851585338	0.1962742506	0.292232366	0.150218948	0.0755921302	0.16036452484
e	0.02748164652	0.0320912808	0.0431983132	0.1040467436	0.2619529022	0.188935748	0.342293208
ì	0.01340162103	0.0134346168	0.01903870896	0.0498359212	0.30639327026	0.246187537	0.35170841582
s	0.012399865782	0.015143681234	0.025165456437	0.0529573782	0.3401456257	0.290126274	0.26406174688
e	0.011196000574	0.01324164539	0.03020196146	0.06817514774	0.2948236548	0.30281289	0.27954859
g	0.012056387512	0.012152685388	0.01449076812	0.01973356082	0.11000567668	0.459604302	0.371956552
l	0.008767586852	0.00984739312	0.014475033948	0.0254967063	0.1184099774	0.541317134	0.2816862072
a	0.004083209526	0.023533547914	0.009824547374	0.01949107484	0.12324114162	0.4002304332	0.41959602614
m	0.0089327627222	0.010130753664	0.009830746382	0.02384306246	0.0465872094	0.53409091	0.366584656
m	0.0115128281512	0.01247570139	0.013764399596	0.028596116954	0.0565568288	0.576468908	0.3006250608
è	0.0017666308436	0.0330637064852	0.01868203557	0.01313950628	0.053253544636	0.5515153232	0.32857927094
n	0.009180690694	0.009598154966	0.01675737742	0.01936321386	0.0558267508	0.477735244	0.4115386018
a	0.0146496420184	0.0167497281656	0.019796406004	0.02990547704	0.0828874758	0.574286068	0.261725281
d	0.013901667039	0.020504435977	0.019668978644	0.031315263	0.0636772328	0.4748509268	0.37608146
è	0.02078165873	0.022144853986	0.022384295932	0.027139409	0.0452391748	0.462403702	0.399906916
k	0.0133616960188	0.013367175522	0.01862241924	0.0413214162	0.0725528374	0.428868038	0.411906586
a	0.0159842926096	0.0200117023794	0.0218024249748	0.03635203916	0.0679355146	0.500193822	0.337720324
</S>	0.0244434047016	0.029763158508	0.026210686554	0.03552121668	0.0809489402	0.359279516	0.44383306
